Field #,Label,Name ,Lookup,Concept_ID,Concept_Name,Domain,Concept_Class,Vocabulary
0,RECORD KEY:,donor_cad_id,,,,,,
1,Donor ID:,don_id,,,,,,
2,Referral Flag:,referral_flg,,,,,,
3,Referral Date:,referral_dt,,,,,,
4,Recovered Outside the U.S.:,recov_out_us,,,,,,
5,Country:,recov_country,lkup_ctry,,,,,
6,Last Name:,lname,,,,,,
7,First Name:,fname,,,,,,
8,DOB:,dob,,4083587,Date of birth,Observation,Observable Entity,SNOMED
9,Gender:,gender,,4135376,Gender,Observation,Observable Entity,SNOMED
10,Age:,age_in_months,,,,,,
11,Age Unit:,age_unit,lkup_age_unit,,,,,
12,Home City:,home_city,,,,,,
13,State:,home_state,lkup_state,,,,,
14,Zip Code:,home_zip,,,,,,
15,Ethnicity/Race:,race,lkup_race_subcat_multi,3050381,Race or ethnicity [OASIS],Observation,Survey,LOINC
16,Citizenship:,citizenship,lkup_citizen_ddr,,,,,
17,Home Country:,citizen_country,lkup_ctry,,,,,
18,Cause of Death:,cod,lkup_don_cod,4083743,Cause of death,Observation,Clinical Finding,SNOMED
19,Cause of Death //Specify:,cod_ostxt,,,,,,
20,Mechanism of Death:,death_mech,lkup_death_mech,,,,,
21,Circumstances of Death:,death_circum,lkup_death_circum,4083743,Cause of death,Observation,Clinical Finding,SNOMED
22,Medical Examiner/Coroner:,med_exam,lkup_medexam_report,,,,,
23,Did the patient have written documentation of their intent to be a donor:,consent_writ_doc_intent,,,,,,
24,Driver's license,consent_drive_lic,,,,,,
25,Donor Card,consent_don_card,,,,,,
26,Donor Registry,consent_don_regis,,,,,,
27,Durable Power of Attorney / Healthcare Proxy,consent_attorney,,,,,,
28,Other Authorization Mechanism //Other Specify,consent_doc_mech_ostxt,,,,,,
29,Was the authorization based solely on this documentation,consent_px_writ_doc,,,,,,
30,Did the patient express to family or others the intent to be a donor:,express_family,,,,,,
31,Date and time of pronouncement of death: (Complete for brain dead and DCD donors):,brain_dth_time,,,,,,
32,Date and time authorization obtained for organ donation:,consent_time,,,,,,
33,ABO Blood Group:,abo,lkup_abo,3002529,ABO group [Type] in Blood,Measurement,Lab Test,LOINC
34,Height:,hgt_cm,,3036277,Body height,Measurement,Clinical Observation,LOINC
35,Height in cm Status //ST=,hgt_cm_I,lkup_field_stat_cd,,,,,
36,Weight:,wgt_kg,,3025315,Body weight,Measurement,Clinical Observation,LOINC
37,Weight in kg Status //ST=,wgt_kg_I,lkup_field_stat_cd,,,,,
38,Serum Creatinine:,creat,,3016723,Creatinine serum/plasma,Measurement,Lab Test,LOINC
39,Serum Creatinine Status //ST=,creat_I,lkup_field_stat_cd,,,,,
40,BUN:,bun,,4216411,Blood urea nitrogen,Observation,Substance,SNOMED
41,BUN Status //ST=,bun_I,lkup_field_stat_cd,,,,,
42,Total Bilirubin:,tbili,,3024128,Total Bilirubin serum/plasma,Measurement,Lab Test,LOINC
43,Total Bilirubin Status //ST=,tbili_I,lkup_field_stat_cd,,,,,
44,SGOT/AST:,sgot,,,,,,
45,SGOT/AST Status //ST=,sgot_I,lkup_field_stat_cd,,,,,
46,SGPT/ALT:,sgpt,,,,,,
47,SGPT/ALT Status //ST=,sgpt_I,lkup_field_stat_cd,,,,,
48,Protein in Urine:,protein_urine,,4174522,Urine protein,Observation,Substance,SNOMED
49,Serum Sodium //Serum Sodium:,sodium170_val,,3019550,Sodium serum/plasma,Measurement,Lab Test,LOINC
50,Serum Sodium Status //ST=,sodium170_val_i,lkup_field_stat_cd,,,,,
51,INR:,inr,,3022217,INR,Measurement,Lab Test,LOINC
52,INR Status //ST=,inr_i,lkup_field_stat_cd,,,,,
53,Blood pH:,ph,,2212347,"Gases, blood, pH only",Measurement,CPT4,CPT4
54,PH Status //ST=,ph_i,lkup_field_stat_cd,,,,,
55,Hematocrit:,Hematocrit,,3009542,Hematocrit,Measurement,Lab Test,LOINC
56,Hematocrit Status //ST=,hematocrit_i,lkup_field_stat_cd,,,,,
57,Serum Lipase:,lipase,,3004905,Lipase [Enzymatic activity/volume] in Serum or Plasma,Measurement,Lab Test,LOINC
58,Serum Lipase Status //ST=,lipase_I,lkup_field_stat_cd,,,,,
59,Serum Amylase:,amylase,,3028954,Amylase in fluid/Amylase in serum,Measurement,Lab Test,LOINC
60,Serum Amylase Status //ST=,amylase_I,lkup_field_stat_cd,,,,,
61,HIV Serology Results:,hiv,lkup_serology_stat,40758406,HIV status,Measurement,Clinical Observation,LOINC
62,HTLV Serology Results:,htlv,lkup_serology_stat,40763873,HTLV [Type] in Serum or Plasma,Measurement,Lab Test,LOINC
63,Syphilis Serology Results:,vdrl,lkup_serology_stat,4229096,Serologic test for syphilis,Measurement,Procedure,SNOMED
64,Anti-CMV Serology Results:,cmv,lkup_serology_stat,,,,,
65,HBsAg Serology Results:,hbsag,lkup_serology_stat,4168615,Hepatitis B surface antigen measurement,Measurement,Procedure,SNOMED
66,HBcAb Serology Results,anti_hbc,lkup_serology_stat,,,,,
67,HCV Serology Results:,anti_hcv,lkup_serology_stat,3007685,Hepatitis C virus Ab [Units/volume] in Serum,Measurement,Lab Test,LOINC
68,Steroids:,pt_steroids,,37394435,Steroid level,Observation,Observable Entity,SNOMED
69,Diuretics:,pt_diuretics,,3021108,Diuretics [Identifier] in Urine,Measurement,Lab Test,LOINC
70,T3:,pt_t3,,3010340,Triiodothyronine (T3) [Mass/volume] in Serum or Plasma,Measurement,Lab Test,LOINC
71,T4:,pt_t4,,3017523,Thyroxine (T4)/Thyroxine binding globulin [Mass Ratio] in Serum or Plasma,Measurement,Lab Test,LOINC
72,Antihypertensives:,antihype,,4146455,Antihypertensive therapy,Procedure,Procedure,SNOMED
73,Vasodilators:,vasodil,,,,,,
74,DDAVP:,ddavp,,40026725,desmopressin Oral Tablet [DDAVP],Drug,Branded Drug Form,RxNorm
75,Heparin:,Heparin,,1367571,Heparin,Drug,Ingredient,RxNorm
76,Arginine Vasopressin:,arginine,,4268036,Antidiuretic hormone measurement,Measurement,Procedure,SNOMED
77,Insulin:,insulin,,4060873,Insulin measurement,Measurement,Procedure,SNOMED
78,Other (one) //Other/Specify:,pt_oth_ostxt,,,,,,
79,Other (two) //Other/Specify:,pt_oth2_ostxt,,,,,,
