UNOS_Field_#,UNOS_Source_Concept,UNOS_Name,UNOS_Lookup,OMOP_Concept_ID,OMOP_Concept_Name,OMOP_Domain,OMOP_Concept_Class,OMOP_Vocabulary
0,RECORD KEY,don_fol_id,,,,,,
1,Recipient Center Type//Recipient Center:,ctr_ty,,,,,,
2,Recipient Center Code//Recipient Center:,ctr_cd,,,,,,
3,Follow-Up Center Code//Followup Center:,fol_ctr_cd,,,,,,
4,Follow-Up Center Type//Followup Center:,fol_ctr_ty,,,,,,
5,Last Name//Name:,lname,,,,,,
6,First Name//Name:,fname,,,,,,
7,DOB:,dob,,4083587,Date of birth,Observation,Observable Entity,SNOMED
8,SSN:,ssn,,,,,,
9,Gender:,gender,,4135376,Gender,Observation,Observable Entity,SNOMED
10,Donor ID:,don_id,,,,,,
11,Recovery Date:,org_recovery_dt,,,,,,
12,Date of Initial Discharge:,init_discharge_dt,,,,,,
13,Most Recent Donor Status since:,px_stat,lkup_px_stat_don_ldf,0,,,,
14,Most Recent Donor Status since//Date of last contact or death:,px_stat_dt,,,,,,
15,Cause of Death:,cod,lkup_liv_don_cod,4083743,Cause of death,Observation,Clinical Finding,SNOMED
16,Cause of Death//Specify:,cod_ostxt,,,,,,
17,Functional Status:,func_stat,lkup_func_stat_2005,40757653,Functional status,Observation,Survey,LOINC
18,Physical Capacity:,physical_capacity,lkup_physical_capacity_ld,4103497,Ability to mobilize,Observation,Observable Entity,SNOMED
19,Working for Income:,work_income,,4126861,Working,Observation,Qualifier Value,SNOMED
20,"Working for Income//If No, Not Working Due To:",work_no_status,lkup_not_working_ld,0,,,,
21,Working for Income//If Yes:,work_yes_status,lkup_work_income_ld,,,,,
22,Current weight:,wgt_kg,,3025315,Body weight,Measurement,Clinical Observation,LOINC
23,Weight Status//ST=,wgt_kg_i,lkup_field_stat_cd,,,,,
24,Total Bilirubin:,bilirub,,3024128,Total Bilirubin serum/plasma,Measurement,Lab Test,LOINC
25,Total Bilirubin Status//ST=,bilirub_i,lkup_field_stat_cd,,,,,
26,SGOT/AST:,ast,,0,,,,
27,SGOT/AST Status//ST=,ast_i,lkup_field_stat_cd,,,,,
28,SGPT/ALT:,sgpt_alt,,0,,,,
29,SGPT/ALT Status//ST=,sgpt_alt_i,lkup_field_stat_cd,,,,,
30,Alkaline Phosphatase:,alkphos,,4210900,Alkaline phosphatase,Observation,Substance,SNOMED
31,Alkaline Phosphatase Status//ST=,alkphos_i,lkup_field_stat_cd,,,,,
32,Serum Albumin:,album,,40769423,Albumin in pericardial fld/Albumin in Serum or Plasma,Measurement,Lab Test,LOINC
33,Serum Albumin Status//ST=,album_i,lkup_field_stat_cd,,,,,
