UNOS_ID,UNOS_Source_Concept,OMOP_Concept_ID,OMOP_Concept_Name,OMOP_Domain,OMOP_Concept_Class,OMOP_Vocabulary
0,0,,,,,
1,1,,,,,
2,2,3005338,HLA-DR locus 2 [Type],Measurement,Lab Test,LOINC
3,3,,,,,
4,4,,,,,
5,5,,,,,
6,6,,,,,
7,7,,,,,
8,8,,,,,
9,9,,,,,
10,10,,,,,
11,11,,,,,
12,12,,,,,
13,13,,,,,
14,14,,,,,
15,15,,,,,
16,16,,,,,
17,17,,,,,
18,18,,,,,
103,103,,,,,
1403,1403,,,,,
1404,1404,,,,,
97,Unknown,45877986,Unknown,Meas Value,Answer,LOINC
98,No second antigen detected,,,,,
99,Not Tested,45878602,Not tested,Meas Value,Answer,LOINC
