UNOS_ID,UNOS_Source_Concept,OMOP_Concept_ID,OMOP_Concept_Name,OMOP_Domain,OMOP_Concept_Class,OMOP_Vocabulary
310,NO FLUSH,,,,,
311,BELZER MPS/KPS - 1,,,,,
303,CARDIOPLEGE,,,,,
307,CELSIOR,,,,,
308,CUSTODIOL,,,,,
301,EUROCOLLINS,,,,,
312,HTK/CUSTODIOL,,,,,
302,MODIFIED COLLINS,,,,,
309,PERFADEX,,,,,
304,PULMOPLEGE,,,,,
306,RINGERS,,,,,
305,SALINE,,,,,
313,UW/BELZER COLD STORAGE/VIASPAN/SPS-1,,,,,
300,VIASPAN (UW/BELZER),,,,,
998,UNKNOWN,45877986,Unknown,Meas Value,Answer,LOINC
999,OTHER SPECIFY,45883153,"Other, specify",Meas Value,Answer,LOINC
