UNOS_ID,UNOS_Source_Concept,OMOP_Concept_ID,OMOP_Concept_Name,OMOP_Domain,OMOP_Concept_Class,OMOP_Vocabulary
1,HOSPITAL DISCHARGE,4203130,Discharge from hospital,Observation,Procedure,SNOMED
3,3 MONTH,45881500,3 months,Meas Value,Answer,LOINC
6,6 MONTH,,,,,
10,1 YEAR,,,,,
20,2 YEAR,,,,,
30,3 YEAR,,,,,
40,4 YEAR,,,,,
50,5 YEAR,,,,,
60,6 YEAR,,,,,
70,7 YEAR,,,,,
80,8 YEAR,,,,,
90,9 YEAR,,,,,
100,10 YEAR,,,,,
110,11 YEAR,,,,,
120,12 YEAR,,,,,
130,13 YEAR,,,,,
140,14 YEAR,,,,,
150,15 YEAR,,,,,
160,16 YEAR,,,,,
170,17 YEAR,,,,,
180,18 YEAR,,,,,
190,19 YEAR,,,,,
200,20 YEAR,,,,,
210,21 YEAR,,,,,
220,22 YEAR,,,,,
230,23 YEAR,,,,,
240,24 YEAR,,,,,
250,25 YEAR,,,,,
260,26 YEAR,,,,,
270,27 YEAR,,,,,
280,28 YEAR,,,,,
290,29 YEAR,,,,,
300,30 YEAR,,,,,
310,31 YEAR,,,,,
320,32 YEAR,,,,,
330,33 YEAR,,,,,
340,34 YEAR,,,,,
350,35 YEAR,,,,,
360,36 YEAR,,,,,
370,37 YEAR,,,,,
380,38 YEAR,,,,,
390,39 YEAR,,,,,
400,40 YEAR,,,,,
410,41 YEAR,,,,,
420,42 YEAR,,,,,
430,43 YEAR,,,,,
440,44 YEAR,,,,,
450,45 YEAR,,,,,
460,46 YEAR,,,,,
470,47 YEAR,,,,,
480,48 YEAR,,,,,
490,49 YEAR,,,,,
500,50 YEAR,,,,,
510,51 YEAR,,,,,
520,52 YEAR,,,,,
530,53 YEAR,,,,,
540,54 YEAR,,,,,
550,55 YEAR,,,,,
560,56 YEAR,,,,,
570,57 YEAR,,,,,
580,58 YEAR,,,,,
590,59 YEAR,,,,,
600,60 YEAR,,,,,
610,61 YEAR,,,,,
620,62 YEAR,,,,,
630,63 YEAR,,,,,
640,64 YEAR,,,,,
650,65 YEAR,,,,,
660,66 YEAR,,,,,
