UNOS_ID,UNOS_Source_Concept,OMOP_Concept_ID,OMOP_Concept_Name,OMOP_Domain,OMOP_Concept_Class,OMOP_Vocabulary
6500,GRAFT FAILURE:VASCULAR THROMBOSIS,4310122,Graft failure due to thrombosis,Condition,Clinical Finding,SNOMED
6501,GRAFT FAILURE:RECURRENT DISEASE OTHER SPECIFY,4148383,Graft failure due to recurrent recipient disease,Condition,Clinical Finding,SNOMED
6502,GRAFT FAILURE:REJECTION,4197631,Rejection of intestine transplant,Condition,Clinical Finding,SNOMED
6503,GRAFT FAILURE:INFECTION OTHER SPECIFY,4170296,Graft infection,Condition,Clinical Finding,SNOMED
6504,GRAFT FAILURE:PRIMARY,4087398,Primary graft failure,Condition,Clinical Finding,SNOMED
6548,GRAFT FAILURE:OTHER SPECIFY,,,,,
6550,CARDIOVASCULAR:ARRHYTHMIA,44784217,Cardiac arrhythmia,Condition,Clinical Finding,SNOMED
6551,CARDIOVASCULAR:ARTERIAL OR PULMONARY EMBOLISM,,,,,
6552,CARDIOVASCULAR:HYPERKALEMIC ARREST,,,,,
6553,CARDIOVASCULAR:CONGESTIVE FAILURE(CHF),319835,Congestive heart failure,Condition,Clinical Finding,SNOMED
6554,CARDIOVASCULAR:MYOCARDIAL INFARCTION,4329847,Myocardial infarction,Condition,Clinical Finding,SNOMED
6555,CARDIOVASCULAR - ARTERIAL EMBOLISM,312339,Arterial embolism,Condition,Clinical Finding,SNOMED
6556,CARDIOVASCULAR - PULMONARY EMBOLISM,440417,Pulmonary embolism,Condition,Clinical Finding,SNOMED
6598,CARDIOVASCULAR:OTHER SPECIFY,,,,,
6600,CEREBROVASCULAR:EMBOLIC STROKE,4153352,Embolic stroke,Condition,Clinical Finding,SNOMED
6601,CEREBROVASCULAR:HEMORRHAGIC STROKE,4046362,Hemorrhagic cerebral infarction,Condition,Clinical Finding,SNOMED
6648,CEREBROVASCULAR:OTHER SPECIFY,,,,,
6650,PULM INSUFF OR EDEMA (EXC PNEUMONIA) Adult,,,,,
6651,RESPIRATORY FAILURE:OTHER SPECIFY CAUSE,,,,,
6700,HEMORRHAGE:LOWER GASTROINTESTINAL,4338544,Lower gastrointestinal hemorrhage,Condition,Clinical Finding,SNOMED
