UNOS_ID,UNOS_Source_Concept,OMOP_Concept_ID,OMOP_Concept_Name,OMOP_Domain,OMOP_Concept_Class,OMOP_Vocabulary
6000,SGS: INTESTINAL ATRESIA,4245343,Congenital atresia of intestinal tract,Condition,Clinical Finding,SNOMED
6001,SGS: NECROTIZING ENTEROCOLITIS,44807226,NEC - necrotising enterocolitis,Condition,Clinical Finding,SNOMED
6002,SGS: INTESTINAL VOLVULUS SECONDARY TO MALROTATION,,,,,
6003,SGS: INTESTINAL VOLVULUS SECONDARY TO ADHESIONS,,,,,
6004,SGS: INTESTINAL VOLVULUS SECONDARY TO PERSISTENT OMPHALOMESENTRERIC DUCT,,,,,
6005,SGS: GASTROSCHISIS,4218764,Gastroschisis,Condition,Clinical Finding,SNOMED
6006,SGS: MASS RESECT SEC TO INF BOWEL-CROHNS,,,,,
6007,SGS: MASS RESECT SEC TO TUMOR,,,,,
6008,SGS: MASSIVE RESECTION SECONDARY TO MESENTERIC ARTERIAL THROMBOSIS OR EMBOLUS,,,,,
6009,SGS: MASS RESECT SEC TO MES VENOUS THROM,,,,,
6048,SGS: OTHER SPECIFY,,,,,
6049,SGS: UNSPECIFIED,,,,,
6050,FBP: HIRSCHSPRUNG'S DISEASE,194149,Hirschsprung's disease,Condition,Clinical Finding,SNOMED
6051,FBP: NEURONAL INTESTINAL DYSPLASIA,4109787,Neuronal intestinal dysplasia,Condition,Clinical Finding,SNOMED
6052,FBP: PSEUDO-OBSTRUCTION-NEUROPATHIC,,,,,
6053,FBP: PSEUDO-OBSTRUCTION-MYOPATHIC,,,,,
6054,FBP: PROTEIN-LOSING ENTEROPATHY,4283212,Protein-losing enteropathy,Condition,Clinical Finding,SNOMED
6055,FBP: MICROVILLOUS INCLUSION DISEASE,,,,,
6098,FBP: OTHER SPECIFY,,,,,
6099,FBP: UNSPECIFIED,,,,,
6100,GRAFT FAILURE,4151240,Transplanted organ failure,Condition,Clinical Finding,SNOMED
6150,RETRANSPLANT,,,,,
6497,INTESTINAL DISEASE OTHER SPECIFY,,,,,
999,OTHER SPECIFY,45883153,"Other, specify",Meas Value,Answer,LOINC
