UNOS_ID,UNOS_Source_Concept,OMOP_Concept_ID,OMOP_Concept_Name,OMOP_Domain,OMOP_Concept_Class,OMOP_Vocabulary
2,Acute Rejection,4128371,Acute rejection of renal transplant,Condition,Clinical Finding,SNOMED
3,Primary Failure,4087398,Primary graft failure,Condition,Clinical Finding,SNOMED
12,Primary Non-Function (Graft Never Functioned Post-Transplant),4032294,Primary non-function of renal transplant,Condition,Clinical Finding,SNOMED
4,Graft Thrombosis,4310122,Graft failure due to thrombosis,Condition,Clinical Finding,SNOMED
5,Infection,192964,Infectious disorder of kidney,Condition,Clinical Finding,SNOMED
7,Urological Complications,44809014,Urological complication of renal transplant,Condition,Clinical Finding,SNOMED
8,Recurrent Disease,440059,Recurrent disease,Condition,Clinical Finding,SNOMED
10,Chronic Rejection,4128372,Chronic rejection of renal transplant,Condition,Clinical Finding,SNOMED
11,BK (Polyoma) Virus,4308297,BK virus,Observation,Organism,SNOMED
1,Hyperacute Rejection,4131784,Hyperacute graft rejection,Condition,Clinical Finding,SNOMED
6,Surgical Complications,434547,Complication of surgical procedure,Condition,Clinical Finding,SNOMED
999,"Other, Specify",45883153,"Other, specify",Meas Value,Answer,LOINC
