UNOS_ID,UNOS_Source_Concept,OMOP_Concept_ID,OMOP_Concept_Name,OMOP_Domain,OMOP_Concept_Class,OMOP_Vocabulary
3200,GRAFT FAILURE: PRIMARY FAILURE,4087398,Primary graft failure,Condition,Clinical Finding,SNOMED
3915,PRIMARY NON-FUNCTION (GRAFT NEVER FUNCTIONED POST-TRANSPLANT),4032294,Primary non-function of renal transplant,Condition,Clinical Finding,SNOMED
3201,GRAFT FAILURE: REJECTION,4248020,Graft rejection,Condition,Clinical Finding,SNOMED
3202,GRAFT FAILURE: TECHNICAL,,,,,
3203,GRAFT FAILURE: GRAFT INFECTION,4170296,Graft infection,Condition,Clinical Finding,SNOMED
3204,GRAFT FAILURE: RECURRENT DISEASE,4148383,Graft failure due to recurrent recipient disease,Condition,Clinical Finding,SNOMED
3299,GRAFT FAILURE: OTHER SPECIFY,,,,,
3300,INFECTION: BACTERIAL PERITONITIS,4026017,Bacterial peritonitis,Condition,Clinical Finding,SNOMED
3301,INFECTION: BACTERIAL PNEUMONIA,257315,Bacterial pneumonia,Condition,Clinical Finding,SNOMED
3302,INFECTION: BACTERIAL SEPTICEMIA,4000938,Bacterial sepsis,Condition,Clinical Finding,SNOMED
3303,INFECTION: FUNGAL,433701,Mycosis,Condition,Clinical Finding,SNOMED
3304,INFECTION: MIXED OTHER SPECIFY,,,,,
3305,INFECTION: OPPORTUNISTIC OTHER SPECIFY,,,,,
3306,INFECTION: URINARY TRACT,81902,Urinary tract infectious disease,Condition,Clinical Finding,SNOMED
3307,INFECTION: VIRAL,440029,Viral disease,Condition,Clinical Finding,SNOMED
3308,INFECTION: AIDS,4267414,AIDS,Condition,Clinical Finding,SNOMED
3399,INFECTION: OTHER SPECIFY,,,,,
3400,CARDIOVASCULAR: MYOCARDIAL INFARCTION,4329847,Myocardial infarction,Condition,Clinical Finding,SNOMED
3401,CARDIOVASCULAR: ARTERIAL EMBOLISM,312339,Arterial embolism,Condition,Clinical Finding,SNOMED
3402,CARDIOVASCULAR - PULMONARY EMBOLISM,440417,Pulmonary embolism,Condition,Clinical Finding,SNOMED
3499,CARDIOVASCULAR: OTHER SPECIFY,,,,,
3500,CEREBROVASCULAR: STROKE,381316,Cerebrovascular accident,Condition,Clinical Finding,SNOMED
3599,CEREBROVASCULAR: OTHER SPECIFY,,,,,
3600,HEMORRHAGE: GASTROINTESTINAL,192671,Gastrointestinal hemorrhage,Condition,Clinical Finding,SNOMED
3601,HEMORRHAGE: INTRAOPERATIVE,4308716,Intraoperative hemorrhage,Condition,Clinical Finding,SNOMED
3699,HEMORRHAGE: OTHER SPECIFY,,,,,
3700,MALIGNANCY: METASTATIC OTHER SPECIFY,,,,,
3701,MALIGNANCY: PRIMARY OTHER SPECIFY,,,,,
3702,MALIGNANCY: POST-TX LYMPHOPROLIFERATIVE,435514,Post-transplant lymphoproliferative disorder,Condition,Clinical Finding,SNOMED
3799,MALIGNANCY: OTHER SPECIFY,,,,,
3800,TRAUMA: MOTOR VEHICLE,,,,,
3899,TRAUMA: OTHER SPECIFY,,,,,
3900,MISCELLANEOUS: DIABETES MELLITUS,201820,Diabetes mellitus,Condition,Clinical Finding,SNOMED
3901,MISC: INTRAOPER (NON-HEMORRHAGE OTHER SPECIFY),,,,,
3902,MISCELLANEOUS: PANCREATITIS,4192640,Pancreatitis,Condition,Clinical Finding,SNOMED
3903,MISCELLANEOUS: RENAL FAILURE,192359,Renal failure syndrome,Condition,Clinical Finding,SNOMED
3904,MISCELLANEOUS: RESPIRATORY FAILURE,4256228,Respiratory failure,Condition,Clinical Finding,SNOMED
3905,MISCELLANEOUS: SUICIDE,440925,Suicide,Observation,Clinical Finding,SNOMED
3906,NON-COMPLIANCE,4322482,Noncompliance with treatment,Condition,Clinical Finding,SNOMED
3907,MISC - LIVER FAILURE,4245975,Hepatic failure,Condition,Clinical Finding,SNOMED
3908,MISC - MULTIPLE SYSTEM ORGAN FAILURE (MSOF),4212484,Multiple organ failure,Condition,Clinical Finding,SNOMED
3909,MISC - FLUID/ELECTROLYTE DISORDER,441830,Disorder of fluid AND/OR electrolyte,Condition,Clinical Finding,SNOMED
3910,MISC - ACID/BASE DISORDER,4096947,Disorder of acid-base balance,Condition,Clinical Finding,SNOMED
3911,MISC - IMMUNO DRUG RELATED - HEMATOLOGIC,,,,,
3912,MISC - IMMUNO DRUG RELATED - NON-HEMATOLOGIC,,,,,
3913,MISC - NON-IMMUNO DRUG RELATED - HEMATOLOGIC,,,,,
3914,"MISC - NON-IMMUNO, NON-HEMATOLOGIC, SPECIFY DRUG",,,,,
998,UNKNOWN,45877986,Unknown,Meas Value,Answer,LOINC
999,OTHER SPECIFY,45883153,"Other, specify",Meas Value,Answer,LOINC
