UNOS_ID,UNOS_Source_Concept,OMOP_Concept_ID,OMOP_Concept_Name,OMOP_Domain,OMOP_Concept_Class,OMOP_Vocabulary
7200,INFECTION: BACTERIAL PERITONITIS,4026017,Bacterial peritonitis,Condition,Clinical Finding,SNOMED
7201,INFECTION: BACTERIAL PNEUMONIA,257315,Bacterial pneumonia,Condition,Clinical Finding,SNOMED
7202,INFECTION: BACTERIAL SEPTICEMIA,4000938,Bacterial sepsis,Condition,Clinical Finding,SNOMED
7203,INFECTION: FUNGAL PERITONITIS,4342877,Fungal peritonitis,Condition,Clinical Finding,SNOMED
7204,INFECTION: FUNGAL PNEUMONIA,4049965,Fungal pneumonia,Condition,Clinical Finding,SNOMED
7205,INFECTION: FUNGAL SEPTICEMIA,44784138,Sepsis due to fungus,Condition,Clinical Finding,SNOMED
7206,INFECTION: MIXED OTHER SPECIFY,,,,,
7207,INFECTION: OPPORTUNISTIC OTHER SPECIFY,,,,,
7208,INFECTION: URINARY TRACT,81902,Urinary tract infectious disease,Condition,Clinical Finding,SNOMED
7209,INFECTION: VIRAL CMV,440032,Cytomegalovirus infection,Condition,Clinical Finding,SNOMED
7210,INFECTION: VIRAL NON-CMV,,,,,
7211,INFECTION: AIDS,4267414,AIDS,Condition,Clinical Finding,SNOMED
7212,INFECTION: OTHER SPECIFY,,,,,
7213,CARDIOVASCULAR: MYOCARDIAL INFARCTION,4329847,Myocardial infarction,Condition,Clinical Finding,SNOMED
7214,CARDIOVASCULAR: ARTERIAL EMBOLISM,312339,Arterial embolism,Condition,Clinical Finding,SNOMED
7215,CARDIOVASCULAR: VASCULAR EMBOLISM,,,,,
7216,CARDIOVASCULAR: OTHER SPECIFY,,,,,
7217,CEREBROVASCULAR: STROKE,381316,Cerebrovascular accident,Condition,Clinical Finding,SNOMED
7218,CEREBROVASCULAR: OTHER SPECIFY,,,,,
7219,HEMORRHAGE: GASTROINTESTINAL,192671,Gastrointestinal hemorrhage,Condition,Clinical Finding,SNOMED
7220,HEMORRHAGE: INTRAOPERATIVE,4308716,Intraoperative hemorrhage,Condition,Clinical Finding,SNOMED
7221,HEMORRHAGE: OTHER SPECIFY,,,,,
7222,MALIGNANCY: METASTATIC OTHER SPECIFY,,,,,
7223,MALIGNANCY: PRIMARY OTHER SPECIFY,,,,,
7224,MALIGNANCY: POST-TX LYMPHOPROLIFERATIVE,435514,Post-transplant lymphoproliferative disorder,Condition,Clinical Finding,SNOMED
7225,MALIGNANCY: OTHER SPECIFY,,,,,
7226,TRAUMA: MOTOR VEHICLE,4168046,Vehicle accident,Observation,Event,SNOMED
7227,TRAUMA: OTHER SPECIFY,,,,,
7228,MISCELLANEOUS: DIABETES MELLITUS,201820,Diabetes mellitus,Condition,Clinical Finding,SNOMED
7229,MISC: INTRAOPER (NON-HEMORRHAGE OTHER SPECIFY),,,,,
7230,MISC: PANCREATITIS (GRAFT),,,,,
7231,MISC: PANCREATITIS (NATIVE),,,,,
7232,MISC: LIVER FAILURE,4245975,Hepatic failure,Condition,Clinical Finding,SNOMED
7233,MISC: ARDS,4191650,Acute respiratory distress,Condition,Clinical Finding,SNOMED
7234,MISCELLANEOUS: INTRAOPERATIVE OTHER SPECIFY,,,,,
7235,MISCELLANEOUS: RENAL FAILURE,192359,Renal failure syndrome,Condition,Clinical Finding,SNOMED
7236,MISCELLANEOUS: RESPIRATORY FAILURE,4256228,Respiratory failure,Condition,Clinical Finding,SNOMED
7237,MISCELLANEOUS: SUICIDE,440925,Suicide,Observation,Clinical Finding,SNOMED
7238,MISC: MULTI-SYSTEM FAILURE,4212484,Multiple organ failure,Condition,Clinical Finding,SNOMED
7239,NON-COMPLIANCE,4106639,Non-compliant,Observation,Qualifier Value,SNOMED
7240,CARDIOVASCULAR - PULMONARY EMBOLISM,440417,Pulmonary embolism,Condition,Clinical Finding,SNOMED
7241,MISC - FLUID/ELECTROLYTE DISORDER,441830,Disorder of fluid AND/OR electrolyte,Condition,Clinical Finding,SNOMED
7242,MISC - ACID/BASE DISORDER,4096947,Disorder of acid-base balance,Condition,Clinical Finding,SNOMED
7243,MISC - IMMUNO DRUG RELATED - HEMATOLOGIC,,,,,
7244,MISC - IMMUNO DRUG RELATED - NON-HEMATOLOGIC,,,,,
7245,MISC - NON-IMMUNO DRUG RELATED - HEMATOLOGIC,,,,,
7246,"MISC - NON-IMMUNO - NON-HEMATOLOGIC, SPECIFY DRUG",,,,,
998,UNKNOWN,45877986,Unknown,Meas Value,Answer,LOINC
999,OTHER SPECIFY,45883153,"Other, specify",Meas Value,Answer,LOINC
