UNOS_ID,UNOS_Source_Concept,OMOP_Concept_ID,OMOP_Concept_Name,OMOP_Domain,OMOP_Concept_Class,OMOP_Vocabulary
998,UNKNOWN,45877986,Unknown,Meas Value,Answer,LOINC
999,OTHER SPECIFY,45883153,"Other, specify",Meas Value,Answer,LOINC
4246,CARDIOVASCULAR - ARTERIAL EMBOLISM,312339,Arterial embolism,Condition,Clinical Finding,SNOMED
4247,CARDIOVASCULAR - PULMONARY EMBOLISM,440417,Pulmonary embolism,Condition,Clinical Finding,SNOMED
4600,GRAFT FAILURE:PRIMARY,4087398,Primary graft failure,Condition,Clinical Finding,SNOMED
4601,GRAFT FAILURE:VASCULAR THROMBOSIS,4120280,Vascular graft thrombosis,Condition,Clinical Finding,SNOMED
4602,GRAFT FAILURE:BILIARY TRACT COMPLICATION,,,,,
4955,GRAFT FAILURE: PRIMARY NON-FUNCTION,4087398,Primary graft failure,Condition,Clinical Finding,SNOMED
4956,GRAFT FAILURE: HEPATIC ARTERY THROMBOSIS,4223098,Hepatic artery thrombosis,Condition,Clinical Finding,SNOMED
4957,GRAFT FAILURE: OTHER VASCULAR THROMBOSIS,4120280,Vascular graft thrombosis,Condition,Clinical Finding,SNOMED
4958,GRAFT FAILURE: DIFFUSE CHOLANGIOPATHY,,,,,
4603,GRAFT FAILURE:HEPATITIS,194990,Inflammatory disease of liver,Condition,Clinical Finding,SNOMED
4604,GRAFT FAILURE:RECURRENT DISEASE (NON-HEPATITIS),,,,,
4605,GRAFT FAILURE:REJECTION,4248020,Graft rejection,Condition,Clinical Finding,SNOMED
4606,GRAFT FAILURE:INFECTION (NON-HEPATITIS),,,,,
4610,GRAFT FAILURE:OTHER SPECIFY,,,,,
4615,GRAFT VS. HOST DISEASE,443216,Graft versus host disease,Condition,Clinical Finding,SNOMED
4620,CARDIO: ARRYTHMIA,44784217,Cardiac arrhythmia,Condition,Clinical Finding,SNOMED
4621,CARDIO: ARTERIAL OR PULMONARY EMBOLISM,440417,Pulmonary embolism,Condition,Clinical Finding,SNOMED
4622,CARDIO: HYPERKALEMIC ARREST,,,,,
4623,CARDIO: CONGESTIVE FAILURE (CHF),319835,Congestive heart failure,Condition,Clinical Finding,SNOMED
4624,CARDIO: MYOCARDIAL INFARCTION,4329847,Myocardial infarction,Condition,Clinical Finding,SNOMED
4625,CARDIO: OTHER SPECIFY,,,,,
4626,CARDIAC ARREST,321042,Cardiac arrest,Condition,Clinical Finding,SNOMED
4630,CEREBROVASCULAR: EMBOLIC STROKE,4153352,Embolic stroke,Condition,Clinical Finding,SNOMED
4631,CEREBROVASCULAR: HEMORRHAGIC STROKE,4046362,Hemorrhagic cerebral infarction,Condition,Clinical Finding,SNOMED
4635,CEREBROVASCULAR: OTHER SPECIFY,,,,,
4640,PULM INSUFF OR EDEMA (EXC PNEUMONIA) (ARDS),,,,,
4645,RESPIRATORY FAILURE: OTHER SPECIFY CAUSE,4256228,Respiratory failure,Condition,Clinical Finding,SNOMED
4650,RENAL FAILURE,192359,Renal failure syndrome,Condition,Clinical Finding,SNOMED
4660,MULTIPLE ORGAN SYSTEM FAILURE,4212484,Multiple organ failure,Condition,Clinical Finding,SNOMED
4700,HEMORRHAGE: LOWER GASTROINTESTINAL,4338544,Lower gastrointestinal hemorrhage,Condition,Clinical Finding,SNOMED
4701,HEMORRHAGE: NEUROLOGICAL (BRAIN),376713,Cerebral hemorrhage,Condition,Clinical Finding,SNOMED
4702,HEMORRHAGE: VARICEAL,4237283,Bleeding varices,Observation,Morph Abnormality,SNOMED
4703,HEMORRHAGE: DISSEMINATED INTRAVASCULAR COAGULATION (DIC),436093,Disseminated intravascular coagulation,Condition,Clinical Finding,SNOMED
4705,HEMORRHAGE: OTHER SPECIFY,,,,,
4706,HEMORRHAGE,437312,Bleeding,Condition,Clinical Finding,SNOMED
4800,INF: BACTERIAL PERITONITIS,4026017,Bacterial peritonitis,Condition,Clinical Finding,SNOMED
4801,INF: PNEUMONIA LEGIONELLA PNEUMOCYSTOSIS,,,,,
4802,INF: GENERALIZED SEPSIS,,,,,
4803,INF: FUNGAL ASPERGILLUS CRYPTOCOCCAL,,,,,
4804,INF: MIXED OTHER SPECIFY,,,,,
