UNOS_ID,UNOS_Source_Concept,OMOP_Concept_ID,OMOP_Concept_Name,OMOP_Domain,OMOP_Concept_Class,OMOP_Vocabulary
4100,AHN: DRUG OTHER SPECIFY,,,,,
4101,AHN: TYPE A,,,,,
4102,AHN: TYPE B- HBSAG+,,,,,
4103,AHN: NON A- NON B,,,,,
4104,AHN: TYPE C,,,,,
4105,AHN: TYPE D,,,,,
4106,AHN: TYPE B AND C,,,,,
4107,AHN: TYPE B AND D,,,,,
4108,AHN: ETIOLOGY UNKNOWN,,,,,
4110,"AHN: OTHER, SPECIFY (E.G., ACUTE VIRAL INFECTION, AUTOIMMUNE HEPATITIS - FULMINANT)",,,,,
4200,CIRRHOSIS: DRUG/INDUST EXPOSURE OTHER SPECIFY,,,,,
4201,CIRRHOSIS: TYPE A,,,,,
4202,CIRRHOSIS: TYPE B- HBSAG+,,,,,
4203,"CIRRHOSIS: TYPE NON A, NON B",,,,,
4204,CIRRHOSIS: TYPE C,,,,,
4205,CIRRHOSIS: TYPE D,,,,,
4206,CIRRHOSIS: TYPE B AND C,,,,,
4207,CIRRHOSIS: TYPE B AND D,,,,,
4208,CIRRHOSIS: CRYPTOGENIC- IDIOPATHIC,4232955,Cryptogenic cirrhosis,Condition,Clinical Finding,SNOMED
4209,CIRRHOSIS: CHRONIC ACTIVE HEPATITIS: ETIOLOGY UNKNOWN,,,,,
4210,"CIRRHOSIS: OTHER, SPECIFY (E.G., HISTIOCYTOSIS, SARCOIDOSIS, GRANULOMATOUS)",,,,,
4212,CIRRHOSIS: AUTOIMMUNE,,,,,
4213,CIRRHOSIS: CRYPTOGENIC (IDIOPATHIC),4232955,Cryptogenic cirrhosis,Condition,Clinical Finding,SNOMED
4214,CIRRHOSIS: FATTY LIVER (NASH),,,,,
4215,ALCOHOLIC CIRRHOSIS,196463,Alcoholic cirrhosis,Condition,Clinical Finding,SNOMED
4216,ALCOHOLIC CIRRHOSIS WITH HEPATITIS C,,,,,
4217,ACUTE ALCOHOLIC HEPATITIS,201343,Acute alcoholic liver disease,Condition,Clinical Finding,SNOMED
4220,PRIMARY BILIARY CIRRHOSIS (PBC),4135822,Primary biliary cirrhosis,Condition,Clinical Finding,SNOMED
4230,SEC BILIARY CIRRHOSIS: CAROLI'S DISEASE,4009157,Congenital dilatation of lobar intrahepatic bile duct,Condition,Clinical Finding,SNOMED
4231,SEC BILIARY CIRRHOSIS: CHOLEDOCHOL CYST,4260364,Choledochal cyst,Condition,Clinical Finding,SNOMED
4235,SEC BILIARY CIRRHOSIS: OTHER SPECIFY,,,,,
4240,PSC: CROHN'S DISEASE,201606,Crohn's disease,Condition,Clinical Finding,SNOMED
4241,PSC: ULCERATIVE COLITIS,81893,Ulcerative colitis,Condition,Clinical Finding,SNOMED
4242,PSC: NO BOWEL DISEASE,,,,,
4245,PSC: OTHER SPECIFY,,,,,
4250,FAMILIAL CHOLESTASIS: BYLER'S DISEASE,4253211,Progressive intrahepatic cholestasis,Condition,Clinical Finding,SNOMED
4255,FAMILIAL CHOLESTASIS: OTHER SPECIFY,,,,,
4260,CHOLES LIVER DISEASE: OTHER SPECIFY,,,,,
4264,NEONATAL CHOLESTATIC LIVER DISEASE,4203366,Cholestasis in newborn,Condition,Clinical Finding,SNOMED
4265,NEONATAL HEPATITIS OTHER SPECIFY,,,,,
4270,BILIARY ATRESIA: EXTRAHEPATIC,4220532,Congenital atresia of extrahepatic bile duct,Condition,Clinical Finding,SNOMED
4271,BILIARY HYPOPLASIA: NONSYNDROMIC PAUCITY OF INTRAHEPATIC BILE DUCT,,,,,
4272,BILIARY HYPOPLASIA: ALAGILLE’S SYNDROME (PAUCITY OF INTRAHEPATIC BILE DUCT),,,,,
4275,"BILIARY ATRESIA OR HYPOPLASIA: OTHER, SPECIFY",,,,,
4280,CONGENITAL HEPATIC FIBROSIS,4194229,Congenital hepatic fibrosis,Condition,Clinical Finding,SNOMED
4285,CYSTIC FIBROSIS,441267,Cystic fibrosis,Condition,Clinical Finding,SNOMED
4290,BUDD-CHIARI SYNDROME,196715,Budd-Chiari syndrome,Condition,Clinical Finding,SNOMED
4300,METDIS: ALPHA-1-ANTITRYPSIN DEFIC A-1-A,192275,Alpha-1-antitrypsin deficiency,Condition,Clinical Finding,SNOMED
4301,"METDIS: WILSON'S DISEASE, OTHER COPPER METABOLISM DISORDER",436672,Disorder of copper metabolism,Condition,Clinical Finding,SNOMED
4302,METDIS: HEMOCHROMATOSIS - HEMOSIDEROSIS,,,,,
4303,METDIS: GLYC STOR DIS TYPE I (GSD-I),4219504,"Glycogen storage disease, type I",Condition,Clinical Finding,SNOMED
4304,METDIS: GLYC STOR DIS TYPE IV (GSD-IV),4009322,"Glycogen storage disease, type IV",Condition,Clinical Finding,SNOMED
4305,"METDIS: HYPERLIPIDEMIA-II, HOMOZYGOUS HYPERCHOLESTEROLEMIA",4079885,Familial hypercholesterolemia - homozygous,Condition,Clinical Finding,SNOMED
4306,METDIS: TYROSINEMIA,4101289,Tyrosinemia,Condition,Clinical Finding,SNOMED
4307,"METDIS: PRIMARY OXALOSIS/OXALURIA, HYPEROXALURIA",4074393,Primary hyperoxaluria,Condition,Clinical Finding,SNOMED
4308,METDIS: MAPLE SYRUP URINE DISEASE,4100475,Maple syrup urine disease,Condition,Clinical Finding,SNOMED
4315,METDIS: OTHER SPECIFY,436670,Metabolic disease,Condition,Clinical Finding,SNOMED
4400,PLM: HEPATOMA - HEPATOCELLULAR CARCINOMA,4001171,Liver cell carcinoma,Condition,Clinical Finding,SNOMED
4401,PLM: HEPATOMA (HCC) AND CIRRHOSIS,,,,,
4402,PLM: FIBROLAMELLAR (FL-HC),4099699,Fibrolamellar hepatocelluar carcinoma,Condition,Clinical Finding,SNOMED
4403,PLM: CHOLANGIOCARCINOMA (CH-CA),4166154,Combined hepatocellualr carcinoma and cholangiocarcinoma,Condition,Clinical Finding,SNOMED
4404,PLM: HEPATOBLASTOMA (HBL),4261495,Hepatoblastoma,Observation,Morph Abnormality,SNOMED
4405,"PLM: HEMANGIOENDOTHELIOMA, HEMANGIOSARCOMA, ANGIOSARCOMA",4298139,Hemangioendothelioma,Condition,Clinical Finding,SNOMED
4410,"PLM: OTHER SPECIFY (I.E., KLATZKIN TUMOR, LEIOMYSARCOMA)",,,,,
4420,"BILE DUCT CANCER: (CHOLANGIOMA, BILIARY TRACT CARCINOMA)",4208660,Cholangiocarcinoma of biliary tract,Condition,Clinical Finding,SNOMED
4430,SECONDARY HEPATIC MALIGNANCY OTHER SPECIFY,,,,,
4450,BENIGN TUMOR: HEPATIC ADENOMA,4301500,Liver cell adenoma,Observation,Morph Abnormality,SNOMED
4451,BENIGN TUMOR: POLYCYSTIC LIVER DISEASE,197654,Congenital cystic disease of liver,Condition,Clinical Finding,SNOMED
4455,BENIGN TUMOR: OTHER SPECIFY,,,,,
4500,TPN/HYPERALIMENTATION IND LIVER DISEASE,,,,,
4510,GRAFT VS. HOST DIS SEC TO NON-LI TX,,,,,
4520,TRAUMA OTHER SPECIFY,,,,,
4592,Hepatitis B: Chronic or Acute,4281232,Type B viral hepatitis,Condition,Clinical Finding,SNOMED
4593,Hepatitis C: Chronic or Acute,197494,Viral hepatitis C,Condition,Clinical Finding,SNOMED
4597,NA: Non-HD Followups Only,,,,,
4598,GRAFT FAILURE,4341658,Liver transplant failure,Condition,Clinical Finding,SNOMED
999,OTHER SPECIFY,45883153,"Other, specify",Meas Value,Answer,LOINC
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
