UNOS_ID,UNOS_Source_Concept,OMOP_Concept_ID,OMOP_Concept_Name,OMOP_Domain,OMOP_Concept_Class,OMOP_Vocabulary
221,Abiomed AB5000,,,,,
201,Abiomed BVS 5000,,,,,
202,Arrow Lionheart,,,,,
203,Berlin Heart,,,,,
222,Berlin Heart EXCOR,,,,,
204,Biomedicus,,,,,
215,Cardiac Assist Tandem Heart,,,,,
227,CentriMag (Thoratec/Levitronix),,,,,
223,Evaheart,,,,,
205,Heartmate II,,,,,
206,Heartmate IP,,,,,
207,Heartmate VE,,,,,
208,Heartmate XVE,,,,,
209,Heartsaver VAD,,,,,
224,Heartware HVAD,,,,,
225,Impella Recover 2.5,,,,,
226,Impella Recover 5.0,,,,,
210,Jarvik 2000,,,,,
228,Maquet Jostra Rotaflow,,,,,
211,Medos,,,,,
212,MicroMed DeBakey,,,,,
229,MicroMed DeBakey - Child,,,,,
213,Novacor PC,,,,,
214,Novacor PCq,,,,,
234,PediMag (Thoratec/Levitronix),,,,,
230,Terumo DuraHeart,,,,,
216,Thoratec,,,,,
217,Thoratec IVAD,,,,,
231,Thoratec PVAD,,,,,
218,Toyobo,,,,,
232,Ventracor VentrAssist,,,,,
233,Worldheart Levacor,,,,,
219,Type Unspecified,45876258,Unspecified,Meas Value,Answer,LOINC
999,"Other, Specify",45883153,"Other, specify",Meas Value,Answer,LOINC
