UNOS_ID,UNOS_Source_Concept,OMOP_Concept_ID,OMOP_Concept_Name,OMOP_Domain,OMOP_Concept_Class,OMOP_Vocabulary
227,REPLACED/ABERRANT RHA OR CHA TRAVERSING HEAD OF PA (valid only for PA and PA segments),,,,,
200,POOR ORGAN FUNCTION,,,,,
201,CARDIAC ARREST,321042,Cardiac arrest,Condition,Clinical Finding,SNOMED
202,INFECTION,432250,Disorder due to infection,Condition,Clinical Finding,SNOMED
203,POSITIVE HEPATITIS,45876624,Hepatitis,Meas Value,Answer,LOINC
204,POSITIVE HIV,4013106,HIV positive,Condition,Clinical Finding,SNOMED
205,DISEASED ORGAN,,,,,
206,ANATOMICAL ABNORMALITIES (not valid for PA or PA segments),,,,,
207,VASCULAR DAMAGE,,,,,
208,NO RECIPIENT LOCATED,,,,,
209,DONOR MEDICAL HISTORY,,,,,
210,DONOR SOCIAL HISTORY,,,,,
211,POSITIVE HTLV - 1,46237374,Positive for HTLV-I antibodies,Meas Value,Answer,LOINC
212,BIOPSY FINDINGS,4268703,Biopsy finding,Measurement,Clinical Finding,SNOMED
213,SURGICAL DAMAGE IN OR,,,,,
214,NO LOCAL RECOVERY TEAM,,,,,
215,ORGAN REFUSED BY ALL REGIONAL PROGRAM,,,,,
216,ORGAN REFUSED BY ALL NATIONAL PROGRAM,,,,,
217,ORGAN REFUSED BY ALL PROGRAMS WITH URGENT NEED,,,,,
218,RULED OUT AFTER EVALUATION IN OR,,,,,
219,RULED OUT DUE TO BIOPSY,,,,,
220,EJECTION FRACTION < 50%,,,,,
221,Po2 < 200 ON o2 CHALLENGE,,,,,
222,HEMODYNAMICALLY UNSTABLE DONOR,4311860,Hemodynamic instability,Condition,Clinical Finding,SNOMED
223,TRAUMA TO ORGAN,,,,,
224,+ GRAM STAIN,45769414,Gram stain,Observation,Qualifier Value,SNOMED
225,TIME CONSTRAINTS,4212102,Definite time,Observation,Qualifier Value,SNOMED
226,MEDICAL EXAMINER RESTRICTED,,,,,
295,DONOR HISTORY- UNDETERMINED- MEDICAL OR,,,,,
299,OTHER SPECIFY,45883153,"Other, specify",Meas Value,Answer,LOINC
228,IPDA-SMA JUNCTION IDENTIFIED WITHIN 5MM FROM RHA JUNCTION (valid only for PA and PA segments),,,,,
229,IPDA ORIGINATING DIRECTLY FROM RHA (valid only for PA and PA segments),,,,,
230,OTHER ANATOMICAL ABNORMALITY (valid only for PA and PA segments),,,,,
296,Converted anatomical abnormalities (206 for PA and PA seg) - Inactive,,,,,
