UNOS_ID,UNOS_Source_Concept,OMOP_Concept_ID,OMOP_Concept_Name,OMOP_Domain,OMOP_Concept_Class,OMOP_Vocabulary
5200,INFECTION: BACTERIAL PERITONITIS,4026017,Bacterial peritonitis,Condition,Clinical Finding,SNOMED
5201,INFECTION: BACTERIAL PNEUMONIA,257315,Bacterial pneumonia,Condition,Clinical Finding,SNOMED
5202,INFECTION: BACTERIAL SEPTICEMIA,4000938,Bacterial sepsis,Condition,Clinical Finding,SNOMED
5203,INFECTION: FUNGAL PERITONITIS,4342877,Fungal peritonitis,Condition,Clinical Finding,SNOMED
5204,INFECTION: FUNGAL PNEUMONIA,4049965,Fungal pneumonia,Condition,Clinical Finding,SNOMED
5205,INFECTION: FUNGAL SEPTICEMIA,44784138,Sepsis due to fungus,Condition,Clinical Finding,SNOMED
5206,INFECTION: MIXED OTHER SPECIFY,,,,,
5207,INFECTION: OPPORTUNISTIC OTHER SPECIFY,,,,,
5208,INFECTION: URINARY TRACT,81902,Urinary tract infectious disease,Condition,Clinical Finding,SNOMED
5209,INFECTION: VIRAL CMV,440032,Cytomegalovirus infection,Condition,Clinical Finding,SNOMED
5210,INFECTION: VIRAL NON-CMV,,,,,
5211,INFECTION: AIDS,4267414,AIDS,Condition,Clinical Finding,SNOMED
5299,INFECTION: OTHER SPECIFY,,,,,
5300,CV: MF/CHF,,,,,
5301,CV: VASCULAR EMBOLISM,,,,,
5302,CARDIOVASCULAR - PULMONARY EMBOLISM,440417,Pulmonary embolism,Condition,Clinical Finding,SNOMED
5399,CV: OTHER SPECIFY,,,,,
5400,CEREBROVASCULAR: STROKE,381316,Cerebrovascular accident,Condition,Clinical Finding,SNOMED
5499,CEREBROVASCULAR: OTHER SPECIFY,,,,,
5500,HEMORRHAGE: GASTROINTESTINAL,192671,Gastrointestinal hemorrhage,Condition,Clinical Finding,SNOMED
5501,HEMORRHAGE: INTRAOPERATIVE,4308716,Intraoperative hemorrhage,Condition,Clinical Finding,SNOMED
5599,HEMORRHAGE: OTHER SPECIFY,,,,,
5600,MALIG: METASTATIC OTHER SPECIFY,,,,,
5601,MALIG: PRIMARY OTHER SPECIFY,,,,,
5602,MALIG: POST-TX LYMPHOPROLIFERATIVE DISORDER,435514,Post-transplant lymphoproliferative disorder,Condition,Clinical Finding,SNOMED
5699,MALIG: OTHER SPECIFY,,,,,
5700,TRAUMA: MOTOR VEHICLE,4168046,Vehicle accident,Observation,Event,SNOMED
5799,TRAUMA: OTHER SPECIFY,,,,,
5800,MISC: DIABETES MELLITUS COMPLICATIONS,44793113,Diabetes mellitus with multiple complications,Condition,Clinical Finding,SNOMED
5801,MISC: INTRAOPER (NON-HEMORRHAGE OTHER SPECIFY),,,,,
5802,MISC: PANCREATITIS (GRAFT),,,,,
5803,MISC: PANCREATITIS (NATIVE),,,,,
5804,MISC: LIVER FAILURE,4245975,Hepatic failure,Condition,Clinical Finding,SNOMED
5805,MISC: RENAL FAILURE,192359,Renal failure syndrome,Condition,Clinical Finding,SNOMED
5806,MISC: RESP FAILURE (NON-PNEUMONIA),,,,,
5807,MISC: ARDS,4191650,Acute respiratory distress,Condition,Clinical Finding,SNOMED
5808,MISC: SUICIDE,440925,Suicide,Observation,Clinical Finding,SNOMED
5809,MISC: MULTI-SYSTEM FAILURE,4212484,Multiple organ failure,Condition,Clinical Finding,SNOMED
5810,MISC - FLUID/ELECTROLYTE DISORDER,441830,Disorder of fluid AND/OR electrolyte,Condition,Clinical Finding,SNOMED
5811,MISC - ACID/BASE DISORDER,4096947,Disorder of acid-base balance,Condition,Clinical Finding,SNOMED
5812,MISC - IMMUNO DRUG RELATED - HEMATOLOGIC,,,,,
5813,MISC - IMMUNO DRUG RELATED - NON-HEMATOLOGIC,,,,,
5814,MISC - NON-IMMUNO DRUG RELATED - HEMATOLOGIC,,,,,
5815,"MISC - NON-IMMUNO - NON-HEMATOLOGIC, SPECIFY DRUG",,,,,
998,UNKNOWN,45877986,Unknown,Meas Value,Answer,LOINC
999,OTHER SPECIFY,45883153,"Other, specify",Meas Value,Answer,LOINC
