UNOS_ID,UNOS_Source_Concept,OMOP_Concept_ID,OMOP_Concept_Name,OMOP_Domain,OMOP_Concept_Class,OMOP_Vocabulary
5000,RETRANSPLANT/GRAFT FAILURE,4151240,Transplanted organ failure,Condition,Clinical Finding,SNOMED
5001,DIABETES MELLITUS - TYPE I,201254,Type 1 diabetes mellitus,Condition,Clinical Finding,SNOMED
5002,DIABETES MELLITUS - TYPE II,201826,Type 2 diabetes mellitus,Condition,Clinical Finding,SNOMED
5009,DIABETES MELLITUS - TYPE OTHER / UNKNOWN,,,,,
5003,DIABETES SECONDARY TO CHRONIC PANCREATITIS WITHOUT PANCREATECTOMY,,,,,
5004,DIABETES SECONDARY TO CYSTIC FIBROSIS WITHOUT PANCREATECTOMY,,,,,
5005,PANCREATIC CANCER,4180793,Malignant tumor of pancreas,Condition,Clinical Finding,SNOMED
5006,BILE DUCT CANCER,4321680,Cholangiocarcinoma,Observation,Morph Abnormality,SNOMED
5007,OTHER CANCERS,45884514,Other cancer,Meas Value,Answer,LOINC
5008,PANCREATECTOMY PRIOR TO PANCREAS TX,,,,,
999,OTHER SPECIFY,45883153,"Other, specify",Meas Value,Answer,LOINC
