UNOS_ID,UNOS_Source_Concept,OMOP_Concept_ID,OMOP_Concept_Name,OMOP_Domain,OMOP_Concept_Class,OMOP_Vocabulary
2000,GRAFT FAILURE: PRIMARY FAILURE,4087398,Primary graft failure,Condition,Clinical Finding,SNOMED
2001,GRAFT FAILURE: REJECTION- HYPERACUTE,4131784,Hyperacute graft rejection,Condition,Clinical Finding,SNOMED
2002,GRAFT FAILURE: REJECTION- ACUTE,,,,,
2003,GRAFT FAILURE: REJECTION- CHRONIC,4337942,Chronic graft rejection,Condition,Clinical Finding,SNOMED
2004,GRAFT FAILURE: TECHNICAL,,,,,
2005,GRAFT FAILURE: GRAFT INFECTION,4170296,Graft infection,Condition,Clinical Finding,SNOMED
2006,GRAFT FAILURE: RECURRENT DISEASE,4148383,Graft failure due to recurrent recipient disease,Condition,Clinical Finding,SNOMED
2099,GRAFT FAILURE: NON-SPECIFIC,,,,,
2100,INFECTION: BACTERIAL SEPTICEMIA,4000938,Bacterial sepsis,Condition,Clinical Finding,SNOMED
2101,INFECTION: BACTERIAL PNEUMONIA,257315,Bacterial pneumonia,Condition,Clinical Finding,SNOMED
2109,INFECTION: BACTERIAL- OTHER SPECIFY,,,,,
2110,INFECTION: VIRAL- CYTOMEGALOVIRUS (CMV),440032,Cytomegalovirus infection,Condition,Clinical Finding,SNOMED
2111,INFECTION: VIRAL- HEPATITIS,4291005,Viral hepatitis,Condition,Clinical Finding,SNOMED
2112,INFECTION: VIRAL-SEPTICEMIA,133327,Viremia,Condition,Clinical Finding,SNOMED
2119,INFECTION: VIRAL- OTHER SPECIFY,,,,,
2120,INFECTION: FUNGAL- ASPERGILLUS,4274340,Infection by Aspergillus fumigatus,Condition,Clinical Finding,SNOMED
2129,INFECTION: FUNGAL- OTHER SPECIFY,,,,,
2130,INFECTION: PROTOZOAL,442176,Protozoan infection,Condition,Clinical Finding,SNOMED
2198,INFECTION: MIXED OTHER SPECIFY,,,,,
2199,INFECTION: OTHER SPECIFY,,,,,
2200,CARDIOVASCULAR: MYOCARDIAL INFARCTION,4329847,Myocardial infarction,Condition,Clinical Finding,SNOMED
2201,CARDIOVASCULAR: CARDIAC ARREST,321042,Cardiac arrest,Condition,Clinical Finding,SNOMED
2202,CARDIOVASCULAR: ARTERIAL EMBOLISM,312339,Arterial embolism,Condition,Clinical Finding,SNOMED
2203,CARDIOVASCULAR: VENTRICULAR FAILURE,4242669,Biventricular congestive heart failure,Condition,Clinical Finding,SNOMED
2204,CARDIOVASCULAR: CORONARY ARTERY DISEASE,317576,Coronary arteriosclerosis,Condition,Clinical Finding,SNOMED
2205,CARDIOVASCULAR: ATHEROSCLEROSIS,40481919,Coronary atherosclerosis,Condition,Clinical Finding,SNOMED
2206,CARDIOVASCULAR: RHYTHM DISORDER,44784217,Cardiac arrhythmia,Condition,Clinical Finding,SNOMED
2207,CARDIOVASCULAR: CARDITIS,4164489,Carditis,Condition,Clinical Finding,SNOMED
2208,CARDIOVASCULAR: AORTIC ANEURYSM,317585,Aortic aneurysm,Condition,Clinical Finding,SNOMED
2209,CARDIOVASCULAR: CARDIOGENIC SHOCK,198571,Cardiogenic shock,Condition,Clinical Finding,SNOMED
2299,CARDIOVASCULAR: OTHER SPECIFY,,,,,
2300,PULM: DEHISCENCE,4007471,Dehiscence,Observation,Morph Abnormality,SNOMED
