UNOS_ID,UNOS_Source_Concept,OMOP_Concept_ID,OMOP_Concept_Name,OMOP_Domain,OMOP_Concept_Class,OMOP_Vocabulary
1000,DILATED MYOPATHY: IDIOPATHIC,4203149,Primary idiopathic dilated cardiomyopathy,Condition,Clinical Finding,SNOMED
1001,DILATED MYOPATHY: ADRIAMYCIN,4240233,Dilated cardiomyopathy secondary to amyloidosis,Condition,Clinical Finding,SNOMED
1002,DILATED MYOPATHY: POST PARTUM,,,,,
1003,DILATED MYOPATHY: FAMILIAL,4178584,Primary familial dilated cardiomyopathy,Condition,Clinical Finding,SNOMED
1004,DILATED MYOPATHY: MYOCARDITIS,,,,,
1005,DILATED MYOPATHY: ALCOHOLIC,318773,Dilated cardiomyopathy secondary to alcohol,Condition,Clinical Finding,SNOMED
1006,DILATED MYOPATHY: VIRAL,,,,,
1007,DILATED MYOPATHY: ISCHEMIC,,,,,
1049,DILATED MYOPATHY: OTHER SPECIFY,,,,,
1050,RESTRICTIVE MYOPATHY: IDIOPATHIC,4274635,Primary idiopathic restrictive cardiomyopathy,Condition,Clinical Finding,SNOMED
1051,RESTRICTIVE MYOPATHY: AMYLOIDOSIS,4197087,Restrictive cardiomyopathy secondary to amyloidosis,Condition,Clinical Finding,SNOMED
1052,RESTRICTIVE MYOPATHY: ENDOCARDIAL FIBROS,4162674,Restrictive cardiomyopathy with endomyocardial fibrosis,Condition,Clinical Finding,SNOMED
1053,RESTRICTIVE MYOPATHY: SARCOIDOSIS,4191606,Restrictive cardiomyopathy secondary to sarcoidosis,Condition,Clinical Finding,SNOMED
1054,RESTRICTIVE MYOPATHY: SEC TO RADIAT/CHEM,,,,,
1099,RESTRICTIVE MYOPATHY: OTHER SPECIFY,4190773,Restrictive cardiomyopathy,Condition,Clinical Finding,SNOMED
1100,HEART RE-TX/GF: HYPERACUTE REJECTION,,,,,
1101,HEART RE-TX/GF: ACUTE REJECTION,,,,,
1102,HEART RE-TX/GF: CORONARY ARTERY DISEASE,,,,,
1103,HEART RE-TX/GF: NON-SPECIFIC,,,,,
1104,HEART RE-TX/GF: RESTRICTIVE/CONSTRICTIVE,,,,,
1105,HEART RE-TX/GF: CHRONIC REJECTION,,,,,
1106,HEART RE-TX/GF: PRIMARY FAILURE,,,,,
1199,HEART RE-TX/GF: OTHER SPECIFY,,,,,
1200,CORONARY ARTERY DISEASE,317576,Coronary arteriosclerosis,Condition,Clinical Finding,SNOMED
1201,HYPERTROPHIC CARDIOMYOPATHY,4124693,Hypertrophic cardiomyopathy,Condition,Clinical Finding,SNOMED
1202,VALVULAR HEART DISEASE,4281749,Heart valve disorder,Condition,Clinical Finding,SNOMED
1203,CONGENITAL HEART DEFECT - PRIOR SURGERY UNKNOWN,,,,,
1204,CANCER,443392,Malignant neoplastic disease,Condition,Clinical Finding,SNOMED
1700,HEART/LUNG RE-TX/GF: PRIMARY FAILURE,,,,,
1497,CARDIAC DISEASE: OTHER SPECIFY,,,,,
1500,EISENMENGER'S SYN: ATRIAL SEPTAL DEFECT,,,,,
1501,EISENMENGER'S SYN: VSD,,,,,
1502,EISENMENGER'S SYN: PDA,,,,,
1548,EISENMENGER'S SYN: MULTI CONGENITAL ANOMALIES,,,,,
1549,EISENMENGER'S SYN: OTHER SPECIFY,40493243,Eisenmenger's syndrome,Condition,Clinical Finding,SNOMED
1550,LUNG RE-TX/GF: NON-SPECIFIC,,,,,
1551,LUNG RE-TX/GF: OBLITERATIVE BRONCHIOLITI,,,,,
1552,LUNG RE-TX/GF: RESTRICTIVE,,,,,
1553,LUNG RE-TX/GF: ACUTE REJECTION,,,,,
1554,LUNG RE-TX/GF: OBSTRUCTIVE,,,,,
1555,LUNG RE-TX/GF: PRIMARY GRAFT FAILURE,,,,,
1599,LUNG RE-TX/GF: OTHER SPECIFY,,,,,
1600,CONGENITAL: OTHER SPECIFY,440508,Congenital disease,Condition,Clinical Finding,SNOMED
1601,PULMONARY HYPERTENSION/PULMONARY ARTERIAL HYPERTENSION,4013643,Pulmonary arterial hypertension,Condition,Clinical Finding,SNOMED
1602,CYSTIC FIBROSIS,441267,Cystic fibrosis,Condition,Clinical Finding,SNOMED
1603,INHALATION BURNS/TRAUMA,,,,,
