UNOS_Field_#,UNOS_Source_Concept,UNOS_Name,UNOS_Lookup,OMOP_Concept_ID,OMOP_Concept_Name,OMOP_Domain,OMOP_Concept_Class,OMOP_Vocabulary
0,RECORD KEY:,malig_id,,,,,,
1,FOREIGN KEY:,trr_fol_id,,,,,,
2,RECORD KEY:,malig_don_id,,,,,,
3,RECORD KEY:,malig_recurr_id,,,,,,
4,Type of pre-existing tumor:,pre_tumor_ty,lkup_tumor_ty,,,,,
5,"If other cancer, specify:",pre_tumor_ostxt,,,,,,
6,Date of recurrence (post tx):,recur_dt,,,,,,
7,RECORD KEY:,malig_tumor_id,,,,,,
8,Tumor Types:// Skin: squamous cell,skin_squamous,,4111921,Squamous cell carcinoma of skin,Condition,Clinical Finding,SNOMED
9,Tumor Types:// Skin: basal cell,skin_basal,,4148464,Basal cell tumor,Observation,Morph Abnormality,SNOMED
10,Tumor Types:// Skin: melanoma,skin_melanoma,,141232,Malignant melanoma of skin,Condition,Clinical Finding,SNOMED
11,Tumor Types: //Kaposi's sarcoma: cutaneous,kaposi_cutaneous,,258981,Kaposi's sarcoma of skin,Condition,Clinical Finding,SNOMED
12,Tumor Types: //Kaposi's sarcoma: visceral,kaposi_visceral,,37018567,Kaposi sarcoma of viscus,Condition,Clinical Finding,SNOMED
13,Tumor Types: //Brain:,tumor_brain,lkup_brain_tumor,4116092,Intracranial tumor,Condition,Clinical Finding,SNOMED
14,Tumor Types: Brain: //Other specify:,tumor_brain_ostxt,,,,,,
15,Tumor Types: //Renal carcinoma,renal_car,,45765451,Renal cell carcinoma,Condition,Clinical Finding,SNOMED
16,"Tumor Types: //Carcinoma of vulva, perineum or penis, scrotum",vul_per_penis_scrot_carcinoma,,,,,,
17,Tumor Types: //Carcinoma of the uterus,uterus_car,,40485978,Carcinoma of uterus,Condition,Clinical Finding,SNOMED
18,Tumor Types: //Ovarian,ovarian,,4047650,Neoplasm of ovary,Condition,Clinical Finding,SNOMED
19,Tumor Types: //Testicular,testicular,,,,,,
20,Tumor Types: //Esophagus,esophagus,,4130990,Neoplasm of esophagus,Condition,Clinical Finding,SNOMED
21,Tumor Types: //Stomach,stomach,,4131611,Neoplasm of stomach,Condition,Clinical Finding,SNOMED
22,Tumor Types: //Small intestine,sm_intest,,4131614,Neoplasm of small intestine,Condition,Clinical Finding,SNOMED
23,Tumor Types: //Pancreas,pancreas,,4129886,Neoplasm of pancreas,Condition,Clinical Finding,SNOMED
24,Tumor Types: //Larynx,larynx,,4055265,Neoplasm of larynx,Condition,Clinical Finding,SNOMED
25,"Tumor Types: //Tongue, throat",tongue_throat,,,,,,
26,Tumor Types: //Thyroid,thyroid,,4131909,Neoplasm of thyroid gland,Condition,Clinical Finding,SNOMED
27,Tumor Types: //Bladder,bladder,,200680,Neoplasm of bladder,Condition,Clinical Finding,SNOMED
