UNOS_Field_#,UNOS_Source_Concept,UNOS_Name,UNOS_Lookup,OMOP_Concept_ID,OMOP_Concept_Name,OMOP_Domain,OMOP_Concept_Class,OMOP_Vocabulary
0,RECORD KEY,rec_histo_id,,,,,,
1,Lab Center Code//Lab:,lab_ctr_cd,,,,,,
2,Lab Center Type//Lab:,lab_ctr_ty,,,,,,
3,Transplant Center Code//TX Center:,ctr_cd,,,,,,
4,Transplant Center Type//TX Center:,ctr_ty,,,,,,
5,SSN:,ssn,,,,,,
6,Recipient Last Name//Name:,lname,,,,,,
7,Recipient First Name//Name:,fname,,,,,,
8,Recipient Middle Int//Name:,mi,,,,,,
9,HIC:,hic,,,,,,
10,DOB:,dob,,4083587,Date of birth,Observation,Observable Entity,SNOMED
11,Gender:,gender,,4135376,Gender,Observation,Observable Entity,SNOMED
12,Transplant Date:,tx_dt,,,,,,
13,Organ(s):,org_ty,,,,,,
14,UNOS Donor ID#:,don_id,,,,,,
15,Donor Type:,don_ty,,4118343,Donor status,Observation,Attribute,SNOMED
16,HLA Typing Done:,hla_typ_done,,4262296,HLA antigen typing,Measurement,Procedure,SNOMED
17,HLA Antibody Screening Done:,pra_test_done,,4209259,Human leukocyte antigen antibody measurement,Measurement,Procedure,SNOMED
18,Physical Crossmatch Done:,crsmatch_done,,4217958,Histocompatibility crossmatch,Measurement,Procedure,SNOMED
19,"If yes, was the crossmatch prospective to transplant:",crsmatch_done_period,,,,,,
20,Donor Retyped at Your Center:,don_retyp,,,,,,
21,Date Typing Completed Class I:,rec_hla1_dt,,,,,,
22,Typing Method Class I:,hla_ty_meth_cls1,lkup_hla_ty_meth_multi,,,,,
23,A,ra1,lkup_alocus,3053072,HLA-A locus [Type],Measurement,Lab Test,LOINC
24,A,ra2,lkup_alocus,3053072,HLA-A locus [Type],Measurement,Lab Test,LOINC
25,B,rb1,lkup_blocus,3049984,HLA-B locus [Type],Measurement,Lab Test,LOINC
26,B,rb2,lkup_blocus,3049984,HLA-B locus [Type],Measurement,Lab Test,LOINC
27,Bw4,rbw4,lkup_wkgrp_hla,3027773,HLA-B w4 [Presence],Measurement,Lab Test,LOINC
28,Bw6,rbw6,lkup_wkgrp_hla,3034085,HLA-B w6 [Presence],Measurement,Lab Test,LOINC
29,C,rcw1,lkup_cwhla,3026777,HLA-C [Type],Measurement,Lab Test,LOINC
30,C,rcw2,lkup_cwhla,3026777,HLA-C [Type],Measurement,Lab Test,LOINC
31,Date Typing Completed Class II:,rec_hla2_dt,,,,,,
32,Typing Method Class II:,hla_ty_meth_cls2,lkup_hla_ty_meth_multi,,,,,
33,DR,rdr1,lkup_drlocus,3021667,HLA-DR locus [Type],Measurement,Lab Test,LOINC
34,DR,rdr2,lkup_drlocus,3005338,HLA-DR locus 2 [Type],Measurement,Lab Test,LOINC
35,DR51,rdrw51,lkup_wkgrp_hla,4124133,Human leukocyte antigen DR51,Observation,Substance,SNOMED
36,DR52,rdrw52,lkup_wkgrp_hla,3028015,HLA-DR52 [Presence],Measurement,Lab Test,LOINC
37,DR53,rdrw53,lkup_wkgrp_hla,3018501,HLA-DR53 [Presence],Measurement,Lab Test,LOINC
38,DQB1,rdqw1,lkup_dqhla,3038881,HLA-DQB1 [Type],Measurement,Lab Test,LOINC
39,DQB1,rdqw2,lkup_dqhla,3038881,HLA-DQB1 [Type],Measurement,Lab Test,LOINC
40,DPB1,rdpw1,lkup_dphla,4094300,Human leukocyte antigen DPB1 genotype determination,Measurement,Procedure,SNOMED
41,DPB1,rdpw2,lkup_dphla,4094300,Human leukocyte antigen DPB1 genotype determination,Measurement,Procedure,SNOMED
42,Date of the most recent crossmatch serum:,serum_dt_recent,,,,,,
43,Donor Retyped Class I:,don_retyp_class1,,,,,,
44,Date Typing Completed Class I:,don_retyp1_dt,,,,,,
45,Typing Method Class I:,don_retyp_ty_meth1,lkup_hla_ty_meth_multi,,,,,
46,A,da1,lkup_alocus,3053072,HLA-A locus [Type],Measurement,Lab Test,LOINC
47,A,da2,lkup_alocus,3053072,HLA-A locus [Type],Measurement,Lab Test,LOINC
48,B,db1,lkup_blocus,3049984,HLA-B locus [Type],Measurement,Lab Test,LOINC
49,B,db2,lkup_blocus,3049984,HLA-B locus [Type],Measurement,Lab Test,LOINC
