UNOS_Field_#,UNOS_Source_Concept,UNOS_Name,UNOS_Lookup,OMOP_Concept_ID,OMOP_Concept_Name,OMOP_Domain,OMOP_Concept_Class,OMOP_Vocabulary
0,RECORD KEY,Tcr_id,,,,,,
1,PX ID-RECORD KEY,px_id,,,,,,
2,Transplant Center Code://Recipient Center:,ctr_cd,,,,,,
3,Transplant Center Type://Recipient Center,ctr_ty,,,,,,
4,SSN:,ssn,,,,,,
5,Organ Registered:,org_ty,lkup_wl_org,,,,,
6,Date of Listing or Add:,listing_dt,,,,,,
7,Last Name:,lname,,,,,,
8,First Name:,fname,,,,,,
9,Middle Initial://MI:,mi,,,,,,
10,Previous Surname:,prev_surname,,,,,,
11,Gender:,gender,,4135376,Gender,Observation,Observable Entity,SNOMED
12,HIC:,hic,,,,,,
13,Date of Birth://DOB:,dob,,4083587,Date of birth,Observation,Observable Entity,SNOMED
14,State of Permanent Residence:,perm_state,lkup_state,,,,,
15,Permanent ZIP Code:,perm_zip,,,,,,
16,Ethnicity/Race:,race,lkup_race_subcat_multi,3050381,Race or ethnicity [OASIS],Observation,Survey,LOINC
17,Citizenship:,citizenship,lkup_citizen_ldr_tcr,,,,,
18,Year of Entry to the U.S.,yr_entry_us,,,,,,
19,Highest Education Level:,education,lkup_ed_level,3005022,Highest level of education [Time] - Reported,Measurement,Clinical Observation,LOINC
20,Patient on Life Support:,life_sup,,4302920,Life support procedure,Procedure,Procedure,SNOMED
21,Life Support://Extra Corporeal Membrane Oxygenation,ecmo,,4052536,Extracorporeal membrane oxygenation,Procedure,Procedure,SNOMED
22,Life Support://Intra Aortic Balloon Pump,iabp,,4044874,Intra-aortic balloon pump,Device,Physical Object,SNOMED
23,Life Support://Ventilator,ventilator,,44791135,Ventilatory support,Procedure,Procedure,SNOMED
24,Life Support://Prostacyclin Infusion,Pros_infus,,,,,,
25,Life Support://Prostacyclin Inhalation,Prostacyclin,,,,,,
26,Life Support://Inhaled NO,Inhaled_no,,40118583,Nitric Oxide/Nitrogen Gas for Inhalation,Drug,Clinical Drug Form,RxNorm
27,"Life Support://Other Mechanism, Specify",oth_life_sup,,,,,,
28,Life Support:Other Mechanism//Specify:,oth_life_sup_ostxt,,,,,,
29,Life Support://Patient on Ventricular Assist Device:,vad_device_ty,lkup_vad_device_ty,4235043,Ventricular assist device,Device,Physical Object,SNOMED
30,Life Support://VAD Brand1:,vad_brand1,"lkup_lvad, lkup_rvad, lkup_tah",,,,,
31,Life Support://VAD Brand2:,vad_brand2,lkup_rvad,,,,,
