UNOS_Field_#,UNOS_Source_Concept,UNOS_Name,UNOS_Lookup,OMOP_Concept_ID,OMOP_Concept_Name,OMOP_Domain,OMOP_Concept_Class,OMOP_Vocabulary
0,RECORD KEY,trr_fol_id,,,,,,
1,Organ Type,org_ty,lkup_wl_org,,,,,
2,Follow up code,fol_cd,lkup_folcd,,,,,
3,Name:,fname,,,,,,
4,Name:,lname,,,,,,
5,Name:,mi,,,,,,
6,SSN:,ssn,,,,,,
7,HIC:,hic,,,,,,
8,Tx Date:,tx_dt,,,,,,
9,DOB:,dob,,4083587,Date of birth,Observation,Observable Entity,SNOMED
10,Gender:,gender,,4135376,Gender,Observation,Observable Entity,SNOMED
11,Transplant Discharge Date:,discharge_dt,,,,,,
12,State of Permanent Residence:,perm_state,lkup_state,,,,,
13,Zip Code:,perm_zip,,,,,,
14,Recipient Center:,ctr_cd,,,,,,
15,Recipient Center:,ctr_ty,,,,,,
16,Followup Center Code//Followup Center:,fol_ctr_cd,,,,,,
17,Followup Center Type//Followup Center:,fol_ctr_ty,,,,,,
18,Physician Name:,phys_name,,,,,,
19,NPI#:,phys_npi,,,,,,
20,Follow-up Care Provided By:,care_provided_by,lkup_fol_care_prov,40757242,Provider type [CARE],Observation,Survey,LOINC
21,Follow-up Care Provided By//Specify:,care_provided_by_ostxt,,,,,,
22,UNOS Donor ID #:,don_id,,,,,,
23,Donor Type:,don_ty,,4118343,Donor status,Observation,Attribute,SNOMED
24,"Date: Last Seen, Retransplanted or Death",px_stat_dt,,,,,,
25,Patient Status:,px_stat,lkup_px_stat1,4077556,Patient status,Observation,Attribute,SNOMED
26,Primary Cause of Death:,cod,lkup_pa_cod,40770933,Primary cause of death,Observation,Survey,LOINC
27,Primary Cause of Death//Specify:,cod_ostxt,,,,,,
28,Contributory Cause of Death:,cod2,lkup_pa_cod,40770935,Secondary cause of death,Observation,Survey,LOINC
29,Contributory Cause of Death//Specify:,cod2_ostxt,,,,,,
30,Contributory Cause of Death:,cod3,lkup_pa_cod,40770935,Secondary cause of death,Observation,Survey,LOINC
31,Contributory Cause of Death//Specify:,cod3_ostxt,,,,,,
32,Has the patient been hospitalized since the last patient status date:,hosp,,,,,,
33,Functional Status:,func_stat,lkup_func_stat_2005,40757653,Functional status,Observation,Survey,LOINC
34,Working for income:,work_income,,4126861,Working,Observation,Qualifier Value,SNOMED
35,Academic Progress:,academic_prg,lkup_academic_prg,4153214,Academic progress,Observation,Observable Entity,SNOMED
