UNOS_Field_#,UNOS_Source_Concept,UNOS_Name,UNOS_Lookup,OMOP_Concept_ID,OMOP_Concept_Name,OMOP_Domain,OMOP_Concept_Class,OMOP_Vocabulary
0,TRR ID-RECORD KEY,trr_id,,,,,,
1,Organ:,org_ty,lkup_wl_org,,,,,
2,Recipient First Name//Name:,fname,,,,,,
3,Recipient Last Name//Name:,lname,,,,,,
4,Recipient Middle Initial//Name:,mi,,,,,,
5,Recipient SSN//SSN:,ssn,,,,,,
6,HIC:,hic,,,,,,
7,DOB:,dob,,4083587,Date of birth,Observation,Observable Entity,SNOMED
8,Gender:,gender,,4135376,Gender,Observation,Observable Entity,SNOMED
9,Tx Date:,tx_dt,,,,,,
10,State of Permanent Residence:,perm_state,lkup_state,,,,,
11,Permanent ZIP Code//Permanent Zip:,perm_zip,,,,,,
12,Transplant Center Code//Recipient Center:,ctr_cd,,,,,,
13,Transplant Center Type//Recipient Center:,ctr_ty,,,,,,
14,Surgeon Name:,surg_name,,,,,,
15,NPI#:,surg_npi,,,,,,
16,Donor Information Id//UNOS Donor ID #:,don_id,,,,,,
17,Donor Type:,don_ty,,4118343,Donor status,Observation,Attribute,SNOMED
18,Primary Diagnosis:,dgn,lkup_in_dgn,3001410,Primary diagnosis,Observation,Claims Attachment,LOINC
19,Primary Diagnosis//Specify:,dgn_ostxt,,,,,,
20,Secondary Diagnosis:,dgn2,lkup_in_dgn,21494573,Secondary diagnosis,Measurement,Clinical Observation,LOINC
21,Secondary Diagnosis//Specify:,dgn2_ostxt,,,,,,
22,"Patient Status//Date: Last Seen, Retransplanted or Death",px_stat_dt,,,,,,
23,Patient Status:,px_stat,lkup_px_stat1,4077556,Patient status,Observation,Attribute,SNOMED
24,Cause of Death//Primary Cause of Death:,cod,lkup_in_cod,40770933,Primary cause of death,Observation,Survey,LOINC
25,Cause of Death//Specify:,cod_ostxt,,,,,,
26,Contributory Cause of Death:,cod2,lkup_in_cod,40770935,Secondary cause of death,Observation,Survey,LOINC
27,Contributory Cause of Death//Specify:,cod2_ostxt,,,,,,
28,Contributory Cause of Death:,cod3,lkup_in_cod,40770935,Secondary cause of death,Observation,Survey,LOINC
29,Contributory Cause of Death//Specify:,cod3_ostxt,,,,,,
30,Date of Admission to Tx Center:,admission_dt,,4128745,Admission to surgical transplant department,Observation,Procedure,SNOMED
31,Date of Discharge from Tx Center:,discharge_dt,,,,,,
32,Medical Condition at time of transplant:,med_cond,lkup_med_cond,,,,,
33,Patient on Life Support:,life_sup,,4302920,Life support procedure,Procedure,Procedure,SNOMED
34,Ventilator,ventilator,,44791135,Ventilatory support,Procedure,Procedure,SNOMED
35,Artificial Liver,artificial_li,,4140657,Artificial liver,Device,Physical Object,SNOMED
36,"Other Mechanism, Specify",oth_life_sup,,,,,,
37,Life Support: Other Mechanism//Specify:,oth_life_sup_ostxt,,,,,,
38,Functional Status:,func_stat,lkup_func_stat_2005,40757653,Functional status,Observation,Survey,LOINC
39,Working for income:,work_income,,4126861,Working,Observation,Qualifier Value,SNOMED
40,Academic Progress:,academic_prg,lkup_academic_prg,4153214,Academic progress,Observation,Observable Entity,SNOMED
41,Academic Activity Level:,academic_level,lkup_academic_activity_level,,,,,
42,Primary Source of Payment//Primary:,pri_payment,lkup_prim_src_pay,40771048,Payment source [ESRD],Observation,Survey,LOINC
43,Foreign Government//Specify:,pri_payment_ctry,lkup_ctry,,,,,
44,cm//Height:,hgt_cm,,3036277,Body height,Measurement,Clinical Observation,LOINC
45,Height in Centimeters//ST=,hgt_cm_i,lkup_field_stat_cd,,,,,
46,Height Percentile//Growth Percentiles//%ile,cdc_growth_hgt,,3036798,Body height [Percentile],Measurement,Clinical Observation,LOINC
47,kg//Weight:,wgt_kg,,3025315,Body weight,Measurement,Clinical Observation,LOINC
48,Weight in Kilograms//ST=,wgt_kg_i,lkup_field_stat_cd,,,,,
49,Weight Percentile//Growth Percentiles//%ile,cdc_growth_wgt,,3013131,Body weight [Percentile] Per age,Measurement,Clinical Observation,LOINC
50,BMI:,bmi,,3038553,Body mass index,Measurement,Clinical Observation,LOINC
51,BMI://%ile,cdc_growth_bmi,,,,,,
52,Previous Transplant Organ,don_org,,,,,,
53,Previous Transplant Date,tx_dt,,,,,,
54,Previous Transplant Graft Fail Date,grf_fail_dt,,,,,,
55,Previous Transplant Organ,don_org,,,,,,
56,Previous Transplant Date,tx_dt,,,,,,
57,Previous Transplant Graft Fail Date,grf_fail_dt,,,,,,
58,Previous Transplant Organ,don_org,,,,,,
59,Previous Transplant Date,tx_dt,,,,,,
60,Previous Transplant Graft Fail Date,grf_fail_dt,,,,,,
61,HBV Core Antibody:,hbv_core,,3021879,Hepatitis B virus core Ab [Presence] in Serum,Measurement,Lab Test,LOINC
62,HBV Surface Antigen:,hbv_sur_antigen,,3019284,Hepatitis B virus surface Ag [Presence] in Serum,Measurement,Lab Test,LOINC
63,Total Bilirubin:,tbili,,3024128,Total Bilirubin serum/plasma,Measurement,Lab Test,LOINC
64,Total Bilirubin//ST=,tbili_i,lkup_field_stat_cd,,,,,
65,Serum Albumin:,album,,40769423,Albumin in pericardial fld/Albumin in Serum or Plasma,Measurement,Lab Test,LOINC
66,Serum Albumin//ST=,album_i,lkup_field_stat_cd,,,,,
67,Serum Creatinine:,creat,,3016723,Creatinine serum/plasma,Measurement,Lab Test,LOINC
68,Serum Creatinine//ST=,creat_i,lkup_field_stat_cd,,,,,
69,Multiple Organ Recipient,ki_tx,,44811577,Renal transplant recipient,Condition,Clinical Finding,SNOMED
70,Multiple Organ Recipient,pa_tx,,,,,,
71,Multiple Organ Recipient,li_tx,,45765761,Liver transplant recipient,Condition,Clinical Finding,SNOMED
72,Multiple Organ Recipient,in_tx,,,,,,
73,Multiple Organ Recipient,hr_tx,,45765760,Heart transplant recipient,Condition,Clinical Finding,SNOMED
74,Multiple Organ Recipient,lu_tx,,45765759,Lung transplant recipient,Condition,Clinical Finding,SNOMED
75,Multiple Organ Recipient,pi_tx,,,,,,
76,Multiple Organ Recipient,bm_tx,,,,,,
77,Intestine Venous Drainage:,in_only_vendrain,,,,,,
78,Native Viscera Venous Drainage:,nat_visc_vendrain,,,,,,
79,Procedure Type:,tx_procedur_ty,lkup_in_tx_proc,,,,,
80,Organ Type//Stomach,org_ty_stomach,,4288283,Stomach structure,Spec Anatomic Site,Body Structure,SNOMED
81,Organ Type//Small Intestine,org_ty_sm_in,,4146765,Small intestinal structure,Spec Anatomic Site,Body Structure,SNOMED
82,Organ Type//Duodenum,org_ty_doudenum,,4302112,Duodenal structure,Spec Anatomic Site,Body Structure,SNOMED
