UNOS_Field_#,UNOS_Source_Concept,UNOS_Name,UNOS_Lookup,OMOP_Concept_ID,OMOP_Concept_Name,OMOP_Domain,OMOP_Concept_Class,OMOP_Vocabulary
0,TRR ID-RECORD KEY:,trr_id,,,,,,
1,Organ:,org_ty,lkup_wl_org,,,,,
2,Recipient First Name//Name:,fname,,,,,,
3,Recipient Middle Initial//Name:,mi,,,,,,
4,Recipient Last Name//Name:,lname,,,,,,
5,Recipient SSN//SSN:,ssn,,,,,,
6,HIC:,hic,,,,,,
7,DOB:,dob,,4083587,Date of birth,Observation,Observable Entity,SNOMED
8,Gender:,gender,,4135376,Gender,Observation,Observable Entity,SNOMED
9,Tx Date:,tx_dt,,,,,,
10,State of Permanent Residence:,perm_state,lkup_state,,,,,
11,Permanent ZIP Code//Permanent Zip:,perm_zip,,,,,,
12,Transplant Center Code//Recipient Center:,ctr_cd,,,,,,
13,Transplant Center Type//Recipient Center:,ctr_ty,,,,,,
14,Surgeon Name:,surg_name,,,,,,
15,NPI#:,surg_npi,,,,,,
16,Donor Information Id//UNOS Donor ID #:,don_id,,,,,,
17,Donor Type:,don_ty,,4118343,Donor status,Observation,Attribute,SNOMED
18,Kidney Primary Diagnosis:,dgn,lkup_ki_dgn,,,,,
19,Kidney Primary Diagnosis//Specify:,dgn_ostxt,,,,,,
20,Pancreas Primary Diagnosis:,dgn_pa,lkup_pa_dgn,,,,,
21,Pancreas Primary Diagnosis//Specify:,dgn_pa_ostxt,,,,,,
22,"Patient Status//Date: Last Seen, Retransplanted or Death",px_stat_dt,,,,,,
23,Patient Status:,px_stat,lkup_px_stat1,4077556,Patient status,Observation,Attribute,SNOMED
24,Cause of Death//Primary Cause of Death:,cod,lkup_kp_cod,40770933,Primary cause of death,Observation,Survey,LOINC
25,Cause of Death//Specify:,cod_ostxt,,,,,,
26,Contributory Cause of Death:,cod2,lkup_kp_cod,40770935,Secondary cause of death,Observation,Survey,LOINC
27,Contributory Cause of Death//Specify:,cod2_ostxt,,,,,,
28,Contributory Cause of Death:,cod3,lkup_kp_cod,40770935,Secondary cause of death,Observation,Survey,LOINC
29,Contributory Cause of Death//Specify:,cod3_ostxt,,,,,,
30,Retransplanted organ:,retx_org,,,,,,
31,Date of Admission to Tx Center:,admission_dt,,4128745,Admission to surgical transplant department,Observation,Procedure,SNOMED
32,Date of Discharge from Tx Center:,discharge_dt,,,,,,
33,Functional Status:,func_stat,lkup_func_stat_2005,40757653,Functional status,Observation,Survey,LOINC
34,Working for income:,work_income,,4126861,Working,Observation,Qualifier Value,SNOMED
35,Academic Progress:,academic_prg,lkup_academic_prg,4153214,Academic progress,Observation,Observable Entity,SNOMED
36,Academic Activity Level:,academic_level,lkup_academic_activity_level_kip,,,,,
37,Kidney Primary Source of Payment//Primary:,pri_payment_ki,lkup_prim_src_pay,,,,,
38,Kidney Foreign Government//Specify:,pri_payment_ctry_ki,lkup_ctry,,,,,
39,Pancreas Primary Source of Payment//Primary:,pri_payment_pa,lkup_prim_src_pay,,,,,
40,Pancreas Foreign Government//Specify:,pri_payment_ctry_pa,lkup_ctry,,,,,
41,cm//Height:,hgt_cm,,3036277,Body height,Measurement,Clinical Observation,LOINC
42,Height in Centimeters//ST=,hgt_cm_i,lkup_field_stat_cd,,,,,
43,Height Percentile//Growth Percentiles//%ile,cdc_growth_hgt,,3036798,Body height [Percentile],Measurement,Clinical Observation,LOINC
44,kg//Weight:,wgt_kg,,3025315,Body weight,Measurement,Clinical Observation,LOINC
45,Weight in Kilograms//ST=,wgt_kg_i,lkup_field_stat_cd,,,,,
46,Weight Percentile//Growth Percentiles//%ile,cdc_growth_wgt,,3013131,Body weight [Percentile] Per age,Measurement,Clinical Observation,LOINC
47,BMI:,bmi,,3038553,Body mass index,Measurement,Clinical Observation,LOINC
48,BMI://%ile,cdc_growth_bmi,,,,,,
49,Previous Transplant Organ,don_org,,,,,,
50,Previous Transplant Date,tx_dt,,,,,,
51,Previous Transplant Graft Fail Date,grf_fail_dt,,,,,,
52,Previous Transplant Organ,don_org,,,,,,
53,Previous Transplant Date,tx_dt,,,,,,
54,Previous Transplant Graft Fail Date,grf_fail_dt,,,,,,
55,Previous Transplant Organ,don_org,,,,,,
56,Previous Transplant Date,tx_dt,,,,,,
57,Previous Transplant Graft Fail Date,grf_fail_dt,,,,,,
58,Pretransplant Dialysis:,pre_tx_dial,,,,,,
59,"Date first Dialyzed// If Yes, Date of Most Recent Initiation of Chronic Maintenance Dialysis:",dial_dt,,,,,,
60,Date First Dialyzed//ST=,dial_dt_i,lkup_field_stat_cd,,,,,
61,Average Daily Insulin Units:,pre_avg_insulin_used,,44804794,Mean total daily insulin dose,Observation,Observable Entity,SNOMED
62,Average Daily Insulin Units//ST=,pre_avg_insulin_used_i,lkup_field_stat_insulin,,,,,
63,Serum Creatinine at Time of Tx:,creat,,,,,,
64,Serum Creatinine at Time of Tx//ST=,creat_i,lkup_field_stat_cd,,,,,
65,HBV Core Antibody:,hbv_core,,3021879,Hepatitis B virus core Ab [Presence] in Serum,Measurement,Lab Test,LOINC
66,HBV Surface Antigen:,hbv_sur_antigen,,3019284,Hepatitis B virus surface Ag [Presence] in Serum,Measurement,Lab Test,LOINC
67,Previous Pregnancies:,prev_preg,lkup_prev_preg,4132561,Previous pregnancies,Observation,Clinical Finding,SNOMED
68,Malignancies between listing and transplant:,malig,,,,,,
69,"Malignancies//If yes, specify type:",malig_ty,lkup_malig_multi,,,,,
70,Malignancies between listing and transplant//Specify:,malig_ostxt,,,,,,
71,Multiple Organ Recipient,ki_tx,,44811577,Renal transplant recipient,Condition,Clinical Finding,SNOMED
72,Multiple Organ Recipient,pa_tx,,,,,,
73,Multiple Organ Recipient,li_tx,,45765761,Liver transplant recipient,Condition,Clinical Finding,SNOMED
74,Multiple Organ Recipient,in_tx,,,,,,
75,Multiple Organ Recipient,hr_tx,,45765760,Heart transplant recipient,Condition,Clinical Finding,SNOMED
76,Multiple Organ Recipient,lu_tx,,45765759,Lung transplant recipient,Condition,Clinical Finding,SNOMED
77,Multiple Organ Recipient,pi_tx,,,,,,
78,Multiple Organ Recipient,bm_tx,,,,,,
79,Procedure Type:,tx_procedur_ty,lkup_kp_proc,,,,,
80,Graft Placement:,grf_placem_pa,lkup_pa_grf_place,,,,,
81,Operative Technique:,oper_tech,lkup_kp_tx_ty,,,,,
82,Duct Management:,duct_mgmt,lkup_pa_duct_mgmt,,,,,
83,Duct Management//Specify:,duct_mgmt_ostxt,,,,,,
84,Venous Vascular Management:,vasc_mgmt,lkup_pa_ven_vasc,,,,,
85,Arterial Reconstruction:,art_recon,lkup_arterial_recon,,,,,
