UNOS_Field_#,UNOS_Source_Concept,UNOS_Name,UNOS_Lookup,OMOP_Concept_ID,OMOP_Concept_Name,OMOP_Domain,OMOP_Concept_Class,OMOP_Vocabulary
0,RECORD KEY,Tcr_id,,,,,,
1,PX ID-RECORD KEY,px_id,,,,,,
2,Transplant Center Code://Recipient Center:,ctr_cd,,,,,,
3,Transplant Center Type://Recipient Center,ctr_ty,,,,,,
4,SSN:,ssn,,,,,,
5,Organ Registered:,org_ty,lkup_wl_org,,,,,
6,Date of Listing or Add:,listing_dt,,,,,,
7,Last Name:,lname,,,,,,
8,First Name:,fname,,,,,,
9,Middle Initial://MI:,mi,,,,,,
10,Previous Surname:,prev_surname,,,,,,
11,Gender:,gender,,4135376,Gender,Observation,Observable Entity,SNOMED
12,HIC:,hic,,,,,,
13,Date of Birth://DOB:,dob,,4083587,Date of birth,Observation,Observable Entity,SNOMED
14,State of Permanent Residence:,perm_state,lkup_state,,,,,
15,Permanent ZIP Code:,perm_zip,,,,,,
16,Ethnicity/Race:,race,lkup_race_subcat_multi,3050381,Race or ethnicity [OASIS],Observation,Survey,LOINC
17,Citizenship:,citizenship,lkup_citizen_ldr_tcr,,,,,
18,Year of Entry to the U.S.,yr_entry_us,,,,,,
19,Highest Education Level:,education,lkup_ed_level,3005022,Highest level of education [Time] - Reported,Measurement,Clinical Observation,LOINC
20,Patient on Life Support:,life_sup,,4302920,Life support procedure,Procedure,Procedure,SNOMED
21,Life Support://Ventilator,ventilator,,44791135,Ventilatory support,Procedure,Procedure,SNOMED
22,Life Support://Artifical Liver,artificial_li,,4140657,Artificial liver,Device,Physical Object,SNOMED
23,"Life Support://Other Mechanism, Specify",oth_life_sup,,,,,,
24,Life Support:Other Mechanism//Specify:,oth_life_sup_ostxt,,,,,,
25,Functional Status:,func_stat,lkup_func_stat_2005,40757653,Functional status,Observation,Survey,LOINC
26,Working for income:,work_income,,4126861,Working,Observation,Qualifier Value,SNOMED
27,Academic Progress:,academic_prg,Lkup_academic_prg,4153214,Academic progress,Observation,Observable Entity,SNOMED
28,Academic Activity Level:,academic_level,Lkup_academic_Activity_Level,,,,,
29,Previous Transplant//Organ,don_org,,,,,,
30,Previous Transplant//Date,tx_dt,,,,,,
31,Previous Transplant//Graft Fail Date,grf_fail_dt,,,,,,
32,Previous Transplant//Organ,don_org,,,,,,
33,Previous Transplant//Date,tx_dt,,,,,,
34,Previous Transplant//Graft Fail Date,grf_fail_dt,,,,,,
35,Previous Transplant//Organ,don_org,,,,,,
36,Previous Transplant//Date,tx_dt,,,,,,
