UNOS_Field_#,UNOS_Source_Concept,UNOS_Name,UNOS_Lookup,OMOP_Concept_ID,OMOP_Concept_Name,OMOP_Domain,OMOP_Concept_Class,OMOP_Vocabulary
0,TRR ID-RECORD KEY,trr_id,,,,,,
1,Organ:,org_ty,lkup_wl_org,,,,,
2,Recipient First Name//Name:,fname,,,,,,
3,Recipient Last Name//Name:,lname,,,,,,
4,Recipient Middle Initial//Name:,mi,,,,,,
5,Recipient SSN//SSN:,ssn,,,,,,
6,HIC:,hic,,,,,,
7,DOB:,dob,,4083587,Date of birth,Observation,Observable Entity,SNOMED
8,Gender:,gender,,4135376,Gender,Observation,Observable Entity,SNOMED
9,Tx Date:,tx_dt,,,,,,
10,State of Permanent Residence:,perm_state,lkup_state,,,,,
11,Permanent ZIP Code//Permanent Zip:,perm_zip,,,,,,
12,Transplant Center Code//Recipient Center:,ctr_cd,,,,,,
13,Transplant Center Type//Recipient Center:,ctr_ty,,,,,,
14,Physician Name:,phys_name,,,,,,
15,Physician NPI#:,phys_npi,,,,,,
16,Surgeon Name:,surg_name,,,,,,
17,Surgeon NPI#:,surg_npi,,,,,,
18,Donor Information Id//UNOS Donor ID #:,don_id,,,,,,
19,Donor Type:,don_ty,,4118343,Donor status,Observation,Attribute,SNOMED
20,Primary Diagnosis:,dgn,lkup_th_dgn,3001410,Primary diagnosis,Observation,Claims Attachment,LOINC
21,Primary Diagnosis//Specify:,dgn_ostxt,,,,,,
22,"Patient Status//Date: Last Seen, Retransplanted or Death",px_stat_dt,,,,,,
23,Patient Status:,px_stat,lkup_px_stat1,4077556,Patient status,Observation,Attribute,SNOMED
24,Cause of Death//Primary Cause of Death:,cod,lkup_th_cod,40770933,Primary cause of death,Observation,Survey,LOINC
25,Cause of Death//Specify:,cod_ostxt,,,,,,
26,Contributory Cause of Death:,cod2,lkup_th_cod,40770935,Secondary cause of death,Observation,Survey,LOINC
27,Contributory Cause of Death//Specify:,cod2_ostxt,,,,,,
28,Contributory Cause of Death:,cod3,lkup_th_cod,40770935,Secondary cause of death,Observation,Survey,LOINC
29,Contributory Cause of Death//Specify:,cod3_ostxt,,,,,,
30,Date of Admission to Tx Center:,admission_dt,,,,,,
31,Date of Discharge from Tx Center:,discharge_dt,,,,,,
32,Medical Condition at time of transplant:,med_cond,lkup_med_cond,,,,,
33,Patient on Life Support:,life_sup,,4302920,Life support procedure,Procedure,Procedure,SNOMED
34,Life Support: ECMO//Extra Corporeal Membrane Oxygenation,ecmo,,4052536,Extracorporeal membrane oxygenation,Procedure,Procedure,SNOMED
35,Life Support: IABP//Intra Aortic Balloon Pump,iabp,,4044874,Intra-aortic balloon pump,Device,Physical Object,SNOMED
36,Life Support: PGE//Prostaglandins,pge,,4045948,Injection of prostaglandin,Procedure,Procedure,SNOMED
37,Life Support: IV Inotropes//Intravenous Inotropes,inotropes,,,,,,
38,Life Support: Ventilator//Ventilator,ventilator,,44791135,Ventilatory support,Procedure,Procedure,SNOMED
39,Life Support: Inhaled NO//Inhaled NO,Inhaled_no,,40118583,Nitric Oxide/Nitrogen Gas for Inhalation,Drug,Clinical Drug Form,RxNorm
40,Life Support: Other Mechanism//Other Mechanism,oth_life_sup,,,,,,
41,Life Support: Other Mechanism//Specify:,oth_life_sup_ostxt,,,,,,
42,Life Support: Prostacyclin Infusion//Prostacyclin Infusion,Pros_infus,,,,,,
43,Life Support: Prostacyclin Inhalation//Prostacyclin Inhalation,Prostacyclin,,,,,,
44,Life Support: Patient on Ventricular Assist Device//Patient on Ventricular Assist Device,vad_device_ty,lkup_vad_device_ty,4235043,Ventricular assist device,Device,Physical Object,SNOMED
45,Life Support: VAD Brand1,vad_brand1,"lkup_lvad, lkup_rvad, lkup_tah",,,,,
46,Life Support: VAD Brand1//Specify:,vad_brand1_ostxt,,,,,,
47,Life Support: VAD Brand2,vad_brand2,lkup_rvad,,,,,
48,Life Support: VAD Brand2//Specify:,vad_brand2_ostxt,,,,,,
49,Functional Status:,func_stat,lkup_func_stat_2005,40757653,Functional status,Observation,Survey,LOINC
50,Working for income:,work_income,,4126861,Working,Observation,Qualifier Value,SNOMED
51,Academic Progress:,academic_prg,lkup_academic_prg,4153214,Academic progress,Observation,Observable Entity,SNOMED
52,Academic Activity Level:,academic_level,lkup_academic_activity_level,,,,,
53,Primary Source of Payment//Primary:,pri_payment,lkup_prim_src_pay,40771048,Payment source [ESRD],Observation,Survey,LOINC
54,Foreign Government//Specify:,pri_payment_ctry,lkup_ctry,,,,,
55,cm//Height:,hgt_cm,,3036277,Body height,Measurement,Clinical Observation,LOINC
56,Height in Centimeters//ST=,hgt_cm_i,lkup_field_stat_cd,,,,,
57,Height Percentile//Growth Percentiles//%ile,cdc_growth_hgt,,3036798,Body height [Percentile],Measurement,Clinical Observation,LOINC
58,kg//Weight:,wgt_kg,,3025315,Body weight,Measurement,Clinical Observation,LOINC
59,Weight in Kilograms//ST=,wgt_kg_i,lkup_field_stat_cd,,,,,
60,Weight Percentile//Growth Percentiles//%ile,cdc_growth_wgt,,3013131,Body weight [Percentile] Per age,Measurement,Clinical Observation,LOINC
61,BMI:,bmi,,3038553,Body mass index,Measurement,Clinical Observation,LOINC
62,BMI://%ile,cdc_growth_bmi,,,,,,
63,Previous Transplant Organ,don_org,,,,,,
64,Previous Transplant Date,tx_dt,,,,,,
65,Previous Transplant Graft Fail Date,grf_fail_dt,,,,,,
66,Previous Transplant Organ,don_org,,,,,,
67,Previous Transplant Date,tx_dt,,,,,,
68,Previous Transplant Graft Fail Date,grf_fail_dt,,,,,,
69,Previous Transplant Organ,don_org,,,,,,
70,Previous Transplant Date,tx_dt,,,,,,
71,Previous Transplant Graft Fail Date,grf_fail_dt,,,,,,
72,HBV Core Antibody:,hbv_core,,3021879,Hepatitis B virus core Ab [Presence] in Serum,Measurement,Lab Test,LOINC
73,HBV Surface Antigen:,hbv_sur_antigen,,3019284,Hepatitis B virus surface Ag [Presence] in Serum,Measurement,Lab Test,LOINC
74,PA (sys)mm/Hg:,hemo_sys,,3005606,Pulmonary artery Systolic blood pressure,Measurement,Clinical Observation,LOINC
75,PA (sys)mm/Hg//ST=,hemo_sys_i,lkup_field_stat_cd,,,,,
76,PA(sys)mm/Hg Inotropes/VASODilators:,inotrop_vaso_sys,,,,,,
77,PA(dia) mm/Hg:,hemo_dia,,3017188,Pulmonary artery Diastolic blood pressure,Measurement,Clinical Observation,LOINC
78,PA(dia) mm/HG//ST=,hemo_dia_i,lkup_field_stat_cd,,,,,
79,PA (dia) mm/Hg Inotropes/Vasodilators:,inotrop_vaso_dia,,,,,,
