UNOS_Field_#,UNOS_Source_Concept,UNOS_Name,UNOS_Lookup,OMOP_Concept_ID,OMOP_Concept_Name,OMOP_Domain,OMOP_Concept_Class,OMOP_Vocabulary
0,TRR ID-RECORD KEY,trr_id,,,,,,
1,Organ:,org_ty,lkup_wl_org,,,,,
2,Recipient First Name//Name:,fname,,,,,,
3,Recipient Last Name//Name:,lname,,,,,,
4,Recipient Middle Initial//Name:,mi,,,,,,
5,Recipient SSN//SSN:,ssn,,,,,,
6,HIC:,hic,,,,,,
7,DOB:,dob,,4083587,Date of birth,Observation,Observable Entity,SNOMED
8,Gender:,gender,,4135376,Gender,Observation,Observable Entity,SNOMED
9,Tx Date:,tx_dt,,,,,,
10,State of Permanent Residence:,perm_state,lkup_state,,,,,
11,Permanent ZIP Code//Permanent Zip:,perm_zip,,,,,,
12,Transplant Center Code//Recipient Center:,ctr_cd,,,,,,
13,Transplant Center Type//Recipient Center:,ctr_ty,,,,,,
14,Surgeon Name:,surg_name,,,,,,
15,NPI#:,surg_npi,,,,,,
16,Donor Information Id//UNOS Donor ID #:,don_id,,,,,,
17,Donor Type:,don_ty,,4118343,Donor status,Observation,Attribute,SNOMED
18,Primary Diagnosis:,dgn,lkup_li_dgn,3001410,Primary diagnosis,Observation,Claims Attachment,LOINC
19,Primary Diagnosis//Specify:,dgn_ostxt,,,,,,
20,"Patient Status//Date: Last Seen, Retransplanted or Death",px_stat_dt,,,,,,
21,Patient Status:,px_stat,lkup_px_stat1,4077556,Patient status,Observation,Attribute,SNOMED
22,Cause of Death//Primary Cause of Death:,cod,lkup_li_cod,4083743,Cause of death,Observation,Clinical Finding,SNOMED
23,Cause of Death//Specify:,cod_ostxt,,,,,,
24,Contributory Cause of Death:,cod2,lkup_li_cod,40770935,Secondary cause of death,Observation,Survey,LOINC
25,Contributory Cause of Death//Specify:,cod2_ostxt,,,,,,
26,Contributory Cause of Death:,cod3,lkup_li_cod,40770935,Secondary cause of death,Observation,Survey,LOINC
27,Contributory Cause of Death//Specify:,cod3_ostxt,,,,,,
28,Date of Admission to Tx Center:,admission_dt,,,,,,
29,Date of Discharge from Tx Center:,discharge_dt,,,,,,
30,Medical Condition at time of transplant:,med_cond,lkup_med_cond,,,,,
31,Patient on Life Support:,life_sup,,4302920,Life support procedure,Procedure,Procedure,SNOMED
32,Ventilator,ventilator,,44791135,Ventilatory support,Procedure,Procedure,SNOMED
33,Artificial Liver,artificial_li,,4140657,Artificial liver,Device,Physical Object,SNOMED
34,"Other Mechanism, Specify",oth_life_sup,,,,,,
35,Life Support: Other Mechanism//Specify:,oth_life_sup_ostxt,,,,,,
36,Functional Status:,func_stat,lkup_func_stat_2005,40757653,Functional status,Observation,Survey,LOINC
37,Working for income:,work_income,,4126861,Working,Observation,Qualifier Value,SNOMED
38,Academic Progress:,academic_prg,lkup_academic_prg,4153214,Academic progress,Observation,Observable Entity,SNOMED
39,Academic Activity Level:,academic_level,lkup_academic_activity_level,,,,,
40,Primary Source of Payment//Primary:,pri_payment,lkup_prim_src_pay,40771048,Payment source [ESRD],Observation,Survey,LOINC
41,Foreign Government//Specify:,pri_payment_ctry,lkup_ctry,,,,,
42,cm//Height:,hgt_cm,,3036277,Body height,Measurement,Clinical Observation,LOINC
43,Height in Centimeters//ST=,hgt_cm_i,lkup_field_stat_cd,,,,,
44,Height Percentile//Growth Percentiles//%ile,cdc_growth_hgt,,3036798,Body height [Percentile],Measurement,Clinical Observation,LOINC
45,kg//Weight:,wgt_kg,,3025315,Body weight,Measurement,Clinical Observation,LOINC
46,Weight in Kilograms//ST=,wgt_kg_i,lkup_field_stat_cd,,,,,
47,Weight Percentile//Growth Percentiles//%ile,cdc_growth_wgt,,3013131,Body weight [Percentile] Per age,Measurement,Clinical Observation,LOINC
48,BMI:,bmi,,3038553,Body mass index,Measurement,Clinical Observation,LOINC
49,BMI://%ile,cdc_growth_bmi,,,,,,
50,Previous Transplant Organ,don_org,,,,,,
51,Previous Transplant Date,tx_dt,,,,,,
52,Previous Transplant Graft Fail Date,grf_fail_dt,,,,,,
53,Previous Transplant Organ,don_org,,,,,,
54,Previous Transplant Date,tx_dt,,,,,,
55,Previous Transplant Graft Fail Date,grf_fail_dt,,,,,,
56,Previous Transplant Organ,don_org,,,,,,
57,Previous Transplant Date,tx_dt,,,,,,
58,Previous Transplant Graft Fail Date,grf_fail_dt,,,,,,
59,HBV Core Antibody:,hbv_core,,3021879,Hepatitis B virus core Ab [Presence] in Serum,Measurement,Lab Test,LOINC
60,HBV Surface Antigen:,hbv_sur_antigen,,3019284,Hepatitis B virus surface Ag [Presence] in Serum,Measurement,Lab Test,LOINC
61,Multiple Organ Recipient,ki_tx,,44811577,Renal transplant recipient,Condition,Clinical Finding,SNOMED
62,Multiple Organ Recipient,pa_tx,,,,,,
63,Multiple Organ Recipient,li_tx,,45765761,Liver transplant recipient,Condition,Clinical Finding,SNOMED
64,Multiple Organ Recipient,in_tx,,,,,,
65,Multiple Organ Recipient,hr_tx,,45765760,Heart transplant recipient,Condition,Clinical Finding,SNOMED
66,Multiple Organ Recipient,lu_tx,,45765759,Lung transplant recipient,Condition,Clinical Finding,SNOMED
67,Multiple Organ Recipient,pi_tx,,,,,,
68,Multiple Organ Recipient,bm_tx,,,,,,
69,Procedure Type:,tx_procedur_ty,lkup_li_proc_ty,,,,,
70,Split Type:,split_ty,"lkup_split_ty_split, lkup_split_ty_partial",,,,,
71,"Total Cold Ischemia Time (if pumped, include pump time):",cold_isch_tm,,,,,,
72,"Total Cold Ischemia Time (if pumped, include pump time)://ST=",cold_isch_tm_i,lkup_field_stat_cd,,,,,
73,Previous Abdominal Surgery:,prev_ab_surg,,4058848,H/O: major abdominal surgery,Observation,Context-dependent,SNOMED
74,Portal Vein Thrombosis:,portal_vein,,199837,Portal vein thrombosis,Condition,Clinical Finding,SNOMED
75,Transjugular Intrahepatic Portosystemic Shunt:,transjug,,4052390,Transjugular intrahepatic portosystemic shunt,Procedure,Procedure,SNOMED
76,Pathology Conf. Liver Diag. of Hospital Discharge:,dgn2,lkup_li_dgn,,,,,
77,If Other Pathology Conf. Liver Diag. of Hospital Discharge//Specify:,dgn2_ostxt,,,,,,
78,Graft Status:,grf_stat,,3043225,Functional status of graft,Measurement,Clinical Observation,LOINC
79,Date of Graft Failure:,grf_fail_dt,,,,,,
80,Hepatitis: DeNovo,hep_denovo,,,,,,
81,Hepatitis: Recurrent,hep_recur,,4026126,Recurrent hepatitis,Condition,Clinical Finding,SNOMED
82,Recurrent Disease (non-Hepatitis),recur_disease,,,,,,
